UPTIMENANO,Ax,Ay,Az
2761164271482,0.1483482,-0.120604835,1.2560396
2761184271483,-0.16994825,0.13772854,-0.33692026
2761204271482,-0.25116575,0.13546728,-1.2682266
2761224271482,-0.39432272,0.23390557,-0.8862298
2761244271483,-0.39784414,-0.0051025455,-0.078118294
2761264271482,-0.07870131,-0.1332835,0.38750014
2761284271482,0.06657113,-0.14121166,0.29752344
2761304271483,0.048450254,-0.09481722,-0.08763291
2761324271482,-0.02589164,-0.086829625,-0.2675608
2761344271482,-0.18507648,-0.08679923,-0.1015038
2761364271483,-0.25615352,-0.07835705,-0.030497313
2761384271482,-0.13084629,-0.059585273,-0.1537186
2761404271482,-0.055334996,-0.043729004,-0.048683498
2761424271483,-0.07976129,-0.060213715,0.17919809
2761444271482,-0.1056535,-0.11095163,0.36329558
2761464271482,-0.127518,-0.117763065,0.364504
2761484271482,-0.20102581,5.908745E-4,-0.051412635
2761504271483,-0.24317725,0.12609343,-0.48702526
2761524271482,-0.22664662,-0.1597559,-0.29455274
2761544271482,0.07954434,-0.45730665,0.27655154
2761564271483,-0.25074938,0.038343605,0.18285437
2761584271482,-0.81161094,-0.015234643,-0.21453735
2761604271482,-0.6575221,-0.5313697,0.07817599
2761624271483,-0.426847,-0.33031827,0.73922974
2761644271482,-0.30280018,-0.66133785,0.8881031
2761664271482,1.2102613,-0.8555149,0.65683913
2761684271483,3.5916903,-0.18583532,0.25927755
2761704271482,3.3040373,-0.8575731,0.4703416
2761724271482,1.6146021,-0.7572634,0.8608785
2761744271483,0.7273921,-0.61059594,0.6464666
2761764271482,-0.37882778,-0.42652246,-0.03873487
2761784271482,-2.96542,-0.03917749,-0.22184442
2761804271483,-3.4228575,0.39940017,-0.6045778
2761824271482,-1.6263891,0.69415665,-1.4427043
2761844271482,0.26113814,0.32651487,-1.146342
2761864271483,0.8318518,-0.32716012,0.29370484
2761884271482,0.95173115,-0.5629226,0.41184562
2761904271482,0.40219116,-0.6470601,0.8347257
2761924271483,-0.6105714,-1.0767814,2.4757342
2761944271482,-0.25267592,-0.76320016,1.1123459
2761964278715,0.8241817,-0.5138658,0.165963
2761984278716,1.1232233,-0.39920333,0.04264055
2762004278715,0.47686353,-0.4359772,0.08703492
2762024278715,-0.7073365,-1.0252278,0.67255753
2762044278716,-0.43972072,-1.1948739,1.4681355
2762064278715,0.21905461,-0.8289995,0.06552146
2762084278715,0.35447466,0.23405862,-1.3894248
2762104278716,0.26391205,0.69856244,-1.742454
2762124278715,0.15846474,0.5661561,-1.3465029
2762144278715,-0.7714402,-0.92045975,1.2923217
2762164278716,-0.39653188,-1.4394276,1.4188243
2762184278715,0.50634,-0.79351723,0.1690033
2762204278715,0.42750594,-0.12443256,-0.3009346
2762224278716,0.37254405,0.032499935,-0.76300114
2762244278715,0.7474068,-0.24945585,-0.44146392
2762264278715,1.0077909,-0.6034947,-0.22947341
2762284278716,0.90637165,-0.5472059,-0.40910584
2762304278715,1.0432572,-0.28369263,-0.78763163
2762324278715,1.6726565,-0.007898067,-0.6317046
2762344278716,2.104119,-0.2479011,-0.4734702
2762364278715,1.3116369,-1.3296179,-0.8837051
2762384278715,-1.3069595,-3.011863,0.16323926
2762404278716,1.03853,-0.959395,0.40790343
2762424278715,1.772012,0.727334,-2.7857099
2762444278715,0.56008875,1.1543875,-4.383594
2762464278716,0.71192205,1.334761,-3.387812
2762484278715,1.2908189,-0.10960561,-2.6298475
2762504278715,1.7668477,-1.5525689,-2.758417
2762524278716,2.2401824,-1.2500108,-3.1563756
2762544278715,1.5609078,-1.3679707,-1.7449361
2762564278715,0.73332566,-2.6290064,1.0244086
2762584278716,0.5515937,-2.7032864,2.7349806
2762604278715,1.363491,-1.6088911,-1.141534
2762624278715,1.2659061,-1.1407269,0.4419392
2762644278716,0.5562013,-1.0068667,2.2278
2762664278715,0.6539777,-0.11384693,1.9299432
2762684278715,0.69741887,0.11541588,0.64066374
2762704278716,0.5717574,-0.29335722,0.14374878
2762724278715,-0.06971353,-0.5861277,0.18778512
2762744278715,-0.16569924,-0.4201959,2.376499
2762764278716,-1.1266888,0.69820124,2.2553537
2762784278715,-2.3110812,1.8260458,-0.8868283
2762804278715,-1.2077833,-0.87593675,-3.7535768
2762824278715,2.3725173,-6.992063,0.64268565
2762844278715,3.655408,-4.1193953,4.6891456
2762864278715,1.741899,-0.56113064,-1.0233507
2762884278715,2.403938,-0.45531604,-3.4535456
2762904278716,2.7295082,2.145156,-0.9104164
2762924278715,1.6530539,4.2146063,-3.6773987
2762944278715,1.5611727,2.866304,-3.420002
2762964278716,3.63103,0.8581482,-2.968335
2762984278715,3.2915075,-0.23302613,-2.7591696
2763004278715,3.2602444,-3.749614,-1.7569792
2763024278716,2.4987974,-5.6100287,-0.20607193
2763044278715,0.45448548,-4.0699196,1.5885625
2763064278715,-2.3870473,-3.977649,2.9574597
2763084278716,-4.245349,-4.7784505,0.84580004
2763104278715,-5.363146,-4.1897373,0.84851265
2763124278715,-5.4619193,-3.4633386,3.5690331
2763144278715,-5.9120207,-1.3306608,2.0299969
2763164278715,-5.3336163,0.44177973,2.2915668
2763184278715,-5.500526,3.320348,7.219691
2763204278715,-4.68447,4.8191357,5.910579
2763224278715,-5.2441936,3.1367092,4.1012583
2763244278715,-3.7286131,4.4612823,3.6954424
2763264278715,-2.1286511,4.5135126,3.5695672
2763284278715,-1.7783295,2.6150436,4.233464
2763304278715,-2.958178,4.3569107,5.871078
2763324278715,-0.801803,6.542869,4.757747
2763344278715,5.8085623,3.3905752,2.7087202
2763364278715,6.464812,2.9520233,0.7951394
2763384278715,4.3172727,0.6962032,2.3170352
2763404278715,2.1077292,0.16013841,2.841483
2763424278715,-0.19641905,1.2592224,3.4277935
2763444278715,-1.5298396,2.1148643,3.898732
2763464278715,-1.8221134,0.8064397,2.8205345
2763484278715,-0.84718776,0.83015347,1.6973374
2763504278715,-0.45067495,3.5721428,0.07584635
2763524278715,-2.3935423,2.6535816,-1.847315
2763544278715,1.7127653,0.9906898,-3.9827423
2763564278715,3.002938,-0.17277658,-5.7540283
2763584278715,1.5311775,0.53993344,-6.292313
2763604278715,-0.04228381,1.7299722,-4.7055798
2763624278715,-2.2108989,0.93955714,-4.007944
2763644278715,-2.9657087,-0.6081978,-5.3599133
2763664278715,-1.7959752,-1.2000921,-6.02178
2763684278715,-0.29791734,-0.4589758,-4.362862
2763704278715,-0.5056672,0.88335586,-2.0735974
2763724278715,-2.4277203,1.5298327,-0.7592948
2763744278715,-5.49331,1.9069064,-0.1718657
2763764278715,-5.9783382,1.3767108,0.92505187
2763784278715,-4.273034,-1.1875603,2.5788438
2763804278715,-1.2167048,-2.099625,2.3914843
2763824278715,2.515371,-1.1550672,0.25044158
2763844278715,4.625333,0.18015176,0.096776314
2763864278715,3.007132,0.20051451,0.78751415
2763884278715,1.2555972,-1.0033972,0.89260757
2763904278715,0.015517415,-2.5947871,1.9720224
2763924278715,-0.47907272,-3.0924797,3.8722172
2763944278715,0.5869308,-2.415231,5.5855355
2763964278715,1.7712375,-1.1572956,4.0124974
2763984278715,1.1485636,0.1265556,2.6791308
2764004283113,1.0272263,-0.19994256,3.5015028
2764024283113,-1.4788482,-2.5889173,2.5306354
2764044283113,-2.6704962,-4.0928235,-0.046253607
2764064283113,-0.61454934,-1.9337738,-1.5682594
2764084283113,-0.5054336,0.09082079,-4.0987763
2764104283113,-0.820437,0.89200157,-5.370239
2764124283113,-1.4629905,3.8011217,-4.3984604
2764144283113,-0.8609511,4.1440163,-4.3852506
2764164283113,-1.0874623,1.2678605,-3.192045
2764184283113,-2.2626143,0.7253598,-2.7399411
2764204283113,-3.1357205,0.5627804,-2.1018414
2764224283113,-3.1745474,0.028411584,-0.31660125
2764244283113,-3.4591815,-0.36773744,3.2091253
2764264283113,-2.9003327,-1.3513651,3.8423455
2764284283113,-0.6642637,-1.3403426,1.5717406
2764304283113,0.44598776,-1.6544551,0.55366534
2764324283113,0.874875,-2.4107854,0.21808185
2764344283113,1.3430457,-2.0730073,0.08171681
2764364283113,2.1039703,-1.0774285,-0.49277192
2764384283113,3.9796693,0.14807966,-2.01453
2764404283113,3.702699,0.31014356,-1.4828502
2764424283113,1.8835341,-0.2884793,0.12463735
2764444283113,1.3606926,-1.1763338,0.37226063
2764464283113,0.5645189,-1.4209754,1.716587
2764484283113,-0.63326246,-1.2623264,3.7950253
2764504283113,-1.4475476,-0.8829346,6.7085657
2764524283113,-2.5378706,-0.46383,6.440318
2764544283113,-1.5693337,-0.17275241,3.308392
2764564283113,0.062680505,-0.092096604,0.5327765
2764584283113,0.09101281,-0.12784785,-0.7964523
2764604283113,-0.43493557,-0.2981951,-0.031686816
2764624283113,-0.9510574,-0.36412725,1.1690787
2764644283113,-1.5256072,0.33313128,-0.59770304
2764664283113,-0.102074705,-0.34892187,-1.0411943
2764684283113,2.1698954,-0.9683592,-0.4403727
2764704283113,2.2542334,-0.79954666,-0.6666798
2764724283113,0.78769827,-0.2717833,-0.5146816
2764744283113,-1.6970568,0.064613156,-0.5594126
2764764283113,-2.6375492,0.11574804,-0.6261982
2764784283113,-2.0683734,-0.29466555,-0.4491773
2764804283113,-2.4465091,-0.3937093,0.28564382
2764824283113,-3.2197077,0.12823243,1.0352533
2764844283113,-2.2853258,1.2245531,0.47633958
2764864283113,-0.8211386,1.3883121,0.4979431
2764884283113,0.5046365,0.5886276,-0.41214046
2764904283113,1.3178364,-1.4491901,-0.7331306
2764924283113,1.3940631,-1.0168638,-0.21867102
2764944283113,0.003970921,0.60993725,-0.0426596
2764964283113,-0.6072928,0.6128583,-0.0073366845
2764984283113,-0.6175398,0.40956318,0.015722368
2765004283113,-0.12326401,0.6835739,-0.19201417
2765024283113,0.20320675,0.9381177,-0.31365633
2765044283113,-0.64523983,-0.060570605,0.114695236
2765064283113,-0.899748,-1.2496475,0.49780208
2765084283113,-0.71089405,-2.3840127,0.2957203
2765104283113,-1.0423267,0.45452884,0.12818018
2765124283113,-1.3159769,2.0414176,0.027463684
2765144283113,-1.335158,1.8516963,0.32538864
2765164283113,-1.682571,1.6785153,0.72626925
2765184283113,-1.4519075,0.30464303,0.10518726
2765204283113,-1.507701,-0.97795796,-0.90223074
2765224283113,-2.681484,-1.5091853,-0.60338724
2765244283113,-1.7525492,-0.019481203,0.26928902
2765264283113,0.916737,1.633605,0.45837855
2765284283113,1.0839517,0.92158896,-0.123706385
2765304283113,0.65930235,0.60059017,-0.21805714
2765324283113,1.3608949,0.43898165,-0.13806632
2765344283113,1.6029149,-0.03202893,0.12349003
2765364283113,1.0119282,-4.668538E-4,0.8661524
2765384283113,0.49499342,0.35348067,1.1463794
2765404283113,-0.13598773,0.029246595,0.66692764
2765424283113,-1.1125715,-1.7479388,0.08953221
2765444283113,-0.9109047,-2.5597572,-0.074230455
2765464283113,-0.3555433,-1.5873275,-0.4956748
2765484283113,-1.5351655,-1.3087753,0.51292753
2765504283113,-1.9010344,-0.041064672,0.47231176
2765524283113,-0.95113415,1.5128124,0.23867738
2765544283113,-0.58025944,2.5847595,0.40483373
2765564283113,-0.39266723,1.458091,0.3240767
2765584283113,-0.2619252,-0.4551438,0.04720418
2765604283113,-0.6443435,-0.99341977,0.0742154
2765624283113,-0.78435904,-0.49061242,0.13227472
2765644283113,-0.56151545,0.17981693,0.079896964
2765664283113,-0.45072427,0.31296653,0.048776943
2765684283113,-0.50713855,-0.028484916,0.124089286
2765704283113,-0.57247436,-0.3495515,0.14861865
2765724283113,-0.4665128,-0.3445246,0.16486213
2765744283113,-0.4394652,-0.10881224,0.19949007
2765764283113,-0.35134476,0.5941346,0.1470998
2765784283113,-0.39773667,0.45854717,0.10766101
2765804283113,-0.631146,-0.12340814,0.10699876
2765824283113,-0.7789136,-0.26699203,0.16815989
