UPTIMENANO,P
2769201727425,998.4162
2769301147449,998.4183
2769398247571,998.4219
2769497118145,998.4236
2769596324495,998.4256
2769695622419,998.4222
2769794889818,998.4238
2769893943542,998.4259
2769992905691,998.4279
2770092197089,998.4279
2770191617114,998.4314
2770290823463,998.4294
2770391922364,998.4314
2770489632987,998.4262
2770589175111,998.4283
2770688564611,998.4231599999999
2770787832010,998.4234
2770886977309,998.4234
2770986366809,998.4235
2771085390008,998.42725
2771184474257,998.42725
2771283589031,998.4261
2771382703805,998.4244
2771481574379,998.41754
2771580811253,998.42645
2771679834452,998.42664
2771778857651,998.42334
2771878338726,998.4162
2771977392450,998.41797
2772076746768,998.42505
2772175922592,998.42334
2772275342617,998.42676
2772374457391,998.4183
2772473694265,998.41656
2772572778514,998.4138
2772671984863,998.4100300000001
2772771008062,998.4135
2772870000736,998.4083
2772969329186,998.4049
2773068352385,998.4086
2773167528209,998.4052
2773266765083,998.4036
2773366032482,998.4052
2773465086206,998.3963
2773564292556,998.39465
2773663498905,998.39813
2773762613679,998.39954
2773861697928,998.40155
2773963285229,998.393
2774060415877,998.4052
2774159404354,998.4052
2774258610703,998.41034
2774357878102,998.4100300000001
2774457023401,998.4258
2774556138175,998.4309
2774655314000,998.424
2774754978224,998.4258
2774854031948,998.42065
2774953146722,998.4122
2775052505697,998.4086
2775151712046,998.4086
2775250643670,998.4032599999999
2775350063694,998.4032599999999
2775449208993,998.40155
2775548537443,998.39813
2775647713267,998.4032599999999
2775746889091,998.4049
2775845881765,998.4032599999999
2775945271264,998.4155
2776044416564,998.4138
2776143928307,998.4138
2776242859931,998.4083
2776342096805,998.4032599999999
2776441822080,998.4083
2776540387404,998.4118
2776639563228,998.408
2776738861152,998.40625
2776837670676,998.4049
2776936815975,998.393
2777036480200,998.3896
2777135137098,998.3916
2777234068722,998.3881
2777334526598,998.3896
2777432542471,998.393
2777531657245,998.3892
2777632664571,998.39124
2777729917318,998.3896
2777829276292,998.3861699999999
2777930039418,998.3827
2778027444791,998.3827
2778126464455,998.3827
2778227258105,998.3827
2778324785578,998.3827
2778423747727,998.3843400000001
2778525548704,998.3878
2778622343576,998.3983
2778721580450,998.3963
2778823228801,998.4032599999999
2778919809998,998.40125
2779018985822,998.40295
2779118863722,998.4114400000001
2779217123795,998.4148
2779316391195,998.42
2779415322819,998.4181
2779514529168,998.4164
2779613949192,998.4197
2779713247116,998.4197
2779812483991,998.4231599999999
2779911507190,998.4128400000001
2780010652489,998.4128400000001
2780109736738,998.4162
2780208782486,998.4128400000001
2780308171985,998.4145
2780407286760,998.4199
2780505943658,998.4214
2780605638408,998.41754
2780705241582,998.41754
2780804508982,998.41925
2780903440606,998.4227
2781002646955,998.42615
2781101883829,998.4192
2781200937553,998.4192
2781300693353,998.42444
2781399716552,998.4238
2781499136576,998.4136
2781598587126,998.4099
2781697885050,998.4166
2781797244024,998.4201
2781896419849,998.4219
2781995687248,998.41656
2782095015697,998.42523
2782194189074,998.43207
2782293425949,998.4337
2782392601773,998.4372
2782491594447,998.4372
2782590800796,998.4423
2782689823995,998.43695
2782788725094,998.4386
2782888206168,998.4381
2782987381993,998.4399
2783086313617,998.44714
2783185581016,998.4399
2783284909465,998.4363
2783384237914,998.4346
2783483016913,998.4309699999999
2783582620088,998.4309699999999
2783681734862,998.42896
2783781399087,998.43066
2783880544386,998.42896
2783979537060,998.4236
2784078957084,998.42
2784177948236,998.42
2784276849335,998.42175
2784376299885,998.42523
2784475414659,998.42676
2784574559958,998.4337
2784673857882,998.43555
2784773094756,998.4337
2784872270580,998.4303
2784971110629,998.4231599999999
2785070439079,998.42645
2785169584378,998.42645
2785268821252,998.4231599999999
2785368058126,998.4231599999999
2785467630776,998.42285
2785566501350,998.42285
2785665524549,998.4262
2785765921374,998.4314
2785864211972,998.43646
2785963448847,998.4377
2786063631997,998.43945
2786162044695,998.4429
2786261125291,998.4357
2786361369492,998.4357
2786459049589,998.43915
2786558683289,998.4443
2786658530664,998.444
2786757248612,998.4425699999999
2786856302337,998.4443
2786956088661,998.44604
2787054562410,998.4443
2787153555084,998.4443
2787253921384,998.4443
2787351998307,998.4443
2787450960456,998.44934
2787551448857,998.4562400000001
2787649342630,998.4542
2787748701604,998.4559300000001
2787849953130,998.45386
2787947022727,998.4501
2788046137501,998.44653
2788148152153,998.4499
2788244608382,998.44824
2788343784206,998.4534
2788445768333,998.44824
2788542196904,998.4499
2788641403254,998.4499
2788743448431,998.4533
2788839846477,998.4585599999999
2788938991776,998.4671
2789040914853,998.46155
2789137129749,998.4629
2789236061373,998.4731
2789338808626,998.4665
2789434260396,998.4647
2789533649896,998.4647
2789636336099,998.46295
2789732276270,998.46295
2789831513144,998.4647
2789933680421,998.4595300000001
2790029956367,998.4613
2790129193241,998.45575
2790228488479,998.4506
2790327511678,998.4472699999999
2790426626452,998.4451
2790525985426,998.4399
2790625191775,998.4382
2790724276025,998.44
2790823512899,998.4314
2790922688723,998.4242
2791022108747,998.4279
2791121101421,998.4242
2791220124620,998.4187
2791319208869,998.4119
2791418415219,998.4102
2791517743668,998.4102
2791617133167,998.4085
2791716308992,998.4102
2791815454291,998.4119
2791914630115,998.408
2792013897514,998.40985
2792113042813,998.40985
2792212004962,998.4060000000001
2792311328435,998.4077
2792411236859,998.4077
2792510107433,998.4074
2792609466408,998.41254
2792708642232,998.41425
2792807879106,998.42114
2792906993880,998.4314
2793006230754,998.4311
2793105406579,998.4345
2793204735028,998.43787
2793303941377,998.4519
2793403117201,998.45325
2793502354076,998.46014
2793601590950,998.4565
2793700614149,998.46484
2793799667873,998.4683
2793898630022,998.4683
2793997897421,998.4644
2794096951145,998.46246
2794196004869,998.46765
2794295178980,998.4641
2794394507430,998.46075
2794493652729,998.46796
2794593011703,998.46967
2794692218052,998.4710699999999
2794791271777,998.4694
2794890325501,998.46594
2794989470800,998.46594
2795088707674,998.46594
2795187700348,998.46594
2795286631972,998.46594
2795386387772,998.46594
2795485868846,998.46765
2795584983620,998.4624
2795683976294,998.46185
2795783671044,998.4599
2795882907918,998.4565
2795982236367,998.4599
2796081290092,998.4565
2796180374341,998.4582
2796279759912,998.4565
2796378661011,998.45465
2796477958935,998.45294
2796577226334,998.45294
2796676249533,998.45105
2796775242207,998.44934
2796874662232,998.45105
2796973746481,998.4649699999999
2797072861255,998.46295
2797173044405,998.4665
2797271029753,998.46466
2797370175052,998.4682
2797470205577,998.47327
2797568557226,998.4661
2797667672000,998.4644
2797767702525,998.4661
2797866145748,998.46606
2797965321573,998.4678
2798066023648,998.4678
2798163398496,998.4618
2798263123770,998.4618
2798364253568,998.4567
2798461842090,998.4551
2798561201064,998.46063
2798661567365,998.4622
2798759491663,998.4692
2798858514862,998.4708
2798959552713,998.4639999999999
2799056835985,998.4708
2799155950759,998.4692
2799256958085,998.4725
2799354088732,998.46875
2799453264557,998.4618
2799554516083,998.45325
2799651738305,998.4481
2799750730979,998.44476
2799851921455,998.44305
2799948838427,998.4428
2800047953201,998.4441
2800147800576,998.4446
2800246243799,998.4446
2800345270365,998.45135
2800444293564,998.44965
2800543316763,998.45605
2800642523112,998.4612400000001
2800741729461,998.4595300000001
2800841057910,998.4612400000001
2800940172684,998.451
2801039104308,998.451
2801138860108,998.4472699999999
2801238219082,998.4455
2801337639107,998.442
2801436784406,998.4472699999999
2801535960230,998.4317599999999
2801635227629,998.4283
2801734189778,998.42145
2801833396128,998.41974
2801932694052,998.41797
2802032205651,998.4074
2802131259376,998.4074
2802230618350,998.39886
2802329730984,998.3883699999999
2802428815233,998.3815300000001
2802528021582,998.37286
2802627350032,998.3764
2802726403756,998.37805
2802825457480,998.37286
2802924785929,998.3673
2803023839653,998.3656599999999
2803122893377,998.36273
2803222038676,998.3486
2803321306076,998.3489400000001
2803420359800,998.3417
2803520115599,998.3315
2803618986173,998.32635
2803718161997,998.3211699999999
2803817429397,998.3126
2803916635746,998.311
2804015964195,998.3005
2804115109494,998.3024
2804214376894,998.3041400000001
2804313583243,998.29865
2804412787951,998.2953
2804511933250,998.2919
2804611200649,998.2953
2804710254374,998.2931
2804809765973,998.2897
2804908789172,998.2846
2805007995521,998.28625
2805106896620,998.2829
2805206164019,998.288
2805305065118,998.2949
2805404729343,998.30304
2805503966217,998.31335
2805603660967,998.3304400000001
2805702378916,998.34406
2805801524215,998.3544
2805901249489,998.36975
2806000120063,998.3983
2806099204312,998.4121
2806198502237,998.424
2806297464386,998.4359
2806396547612,998.453
2806496730762,998.45984
2806595173985,998.4717
2806694166659,998.482
2806794136134,998.4835
2806892579358,998.487
2806991419407,998.49554
2807092060432,998.49896
2807190564706,998.5023
2807289740530,998.4920699999999
2807389587905,998.49
2807487847978,998.48834
2807586962752,998.4780000000001
2807687542728,998.47284
2807785375451,998.4814
2807884459700,998.4831
2807985619651,998.49
2808082628198,998.4920699999999
2808181773497,998.48834
2808283238698,998.4904
2808380006467,998.4831
2808479426492,998.4887
2808580861168,998.48834
2808677503415,998.48834
2808776801339,998.49725
2808878968616,998.4920699999999
2808975214037,998.4904
2809074450912,998.4848
2809176526614,998.4797
2809272955185,998.4904
2809372131009,998.4920699999999
2809473840411,998.49
2809570848958,998.48834
2809670024782,998.4968
2809771734184,998.49335
2809868529056,998.488
2809967430155,998.4914
2810069658482,998.4897
2810166270204,998.4897
2810265690228,998.48755
2810367523136,998.4892
2810464226432,998.48413
2810563249631,998.4823
2810665416909,998.4823
2810761662330,998.48065
2810860685529,998.4823
2810963188581,998.48755
2811059128752,998.4875
2811158274052,998.48584
2811260807629,998.48584
2811356534125,998.48413
2811455832049,998.48413
2811555221548,998.4926
2811654336323,998.4943
2811753634247,998.4889
2811852962696,998.4852
2811952016420,998.48865
2812051314345,998.4834
2812150276494,998.48865
2812249543893,998.4834
2812348780767,998.48004
2812447955097,998.48065
2812547191971,998.4789400000001
2812646062545,998.4823
2812745085744,998.4773
2812844139468,998.4718
2812943254243,998.4714
2813042552167,998.4697
2813142002716,998.46277
2813241483791,998.4574
2813340629090,998.4642
2813439835439,998.45905
2813538828113,998.46277
2813637820787,998.45905
2813737057661,998.46454
2813836172435,998.4680000000001
2813935531410,998.46967
2814034798809,998.46765
2814133913583,998.4618
2814233119932,998.4692
2814332112606,998.46063
2814431289546,998.4694
2814530465370,998.4572
2814629458044,998.4572
2814729274894,998.46063
2814827962317,998.4708
2814926832891,998.4692
2815026588691,998.4725
2815125581365,998.4708
2815225031914,998.4777
2815324024588,998.4779699999999
2815423261463,998.4728
2815522315187,998.4692
2815621338386,998.4657599999999
2815720483685,998.4635599999999
2815819598459,998.4657599999999
