UPTIMENANO,Gx,Gy,Gz
2761175968296,0.4534277,0.15082252,0.009182649
2761185896873,0.39270765,0.13857198,0.020367926
2761195825578,0.25262535,0.016599203,0.018237397
2761205754152,0.067801975,-0.06489353,-0.012655272
2761215682857,-0.12660879,-0.044653505,-0.046743732
2761225611434,-0.28107214,-0.038794547,-0.054733217
2761235540008,-0.34818378,-0.08353566,-0.03875425
2761245468713,-0.32687852,-0.10697147,-0.020112123
2761255397290,-0.25230998,-0.10164515,-0.008394214
2761265339408,-0.1500446,-0.09205777,0.0011931662
2761275268113,-0.05204027,-0.075546175,0.012378443
2761285196946,0.020397712,-0.052110355,0.018237397
2761295125648,0.057149336,-0.03400086,0.017172134
2761305054481,0.057149336,-0.0297398,0.010780546
2761314983186,0.021462977,-0.026011376,-0.0036005238
2761324912016,-0.031800244,-0.01748926,-0.023307918
2761334840721,-0.0706824,-0.010565041,-0.023307918
2761344769426,-0.096248746,-0.019619789,-0.017448962
2761354701329,-0.11755404,-0.039859813,-0.013187904
2761364630162,-0.1351309,-0.07661144,-0.0020026271
2761374558995,-0.17241515,-0.12880939,-0.0051984205
2761384487697,-0.22141732,-0.14425573,-0.02171002
2761394416530,-0.26615843,-0.155441,-0.038221616
2761404345363,-0.2954532,-0.1932579,-0.056863744
2761414274193,-0.30876902,-0.21669371,-0.08029956
2761424203026,-0.3082364,-0.20550844,-0.093615375
2761434131731,-0.2954532,-0.19059473,-0.08988695
2761444060561,-0.25976685,-0.18899684,-0.0792343
2761453989394,-0.20543836,-0.21722634,-0.06645113
2761463918227,-0.15963198,-0.24918428,-0.052602686
2761473852439,-0.13885933,-0.27262008,-0.039819513
2761483781272,-0.16016461,-0.3013822,-0.035558455
2761493710105,-0.22194995,-0.35784125,-0.045145836
2761503638935,-0.30663848,-0.44359502,-0.07390798
2761513567896,-0.3929249,-0.5357404,-0.113322765
2761523496729,-0.47122183,-0.6204289,-0.14954175
2761533425559,-0.50850606,-0.78607756,-0.17564073
2761543354392,-0.5473882,-1.1296253,-0.22357763
2761553283225,-0.64539254,-1.5541332,-0.3668557
2761563205685,-0.7870727,-1.8492115,-0.5042748
2761573134646,-0.95964557,-1.9211168,-0.55753803
2761583063479,-1.1300879,-1.8747778,-0.56020117
