UPTIMENANO,Ax,Ay,Az
2761164271482,-0.027552718,0.2149051,1.2518965
2761184271483,-0.019131113,0.0989673,-0.38885254
2761204271482,-0.040315714,-0.14960313,-1.2906696
2761224271482,-0.12852396,0.13135724,-0.9807304
2761244271483,-0.31327826,0.2005184,-0.16142343
2761264271482,-0.156548,0.053879686,0.3830202
2761284271482,-0.033989616,-0.057046186,0.3293677
2761304271483,-0.008286093,-0.12758867,-0.051669437
2761324271482,-0.05995022,-0.13634901,-0.24002805
2761344271482,-0.19726437,0.0012532166,-0.11478509
2761364271483,-0.25317362,0.06758191,-0.06340611
2761384271482,-0.13536827,-0.019931065,-0.15993361
2761404271482,-0.06901571,-0.0115729,-0.04946888
2761424271483,-0.104904786,0.056449924,0.16705656
2761444271482,-0.16225249,0.09073589,0.3477035
2761464271482,-0.18148482,0.100866295,0.34623897
2761484271482,-0.14015764,0.124265514,-0.0892687
2761504271483,-0.07634912,0.12141689,-0.5400529
2761524271482,-0.27327192,-0.028678285,-0.29690394
2761544271482,-0.2827334,-0.27792767,0.3670905
2761564271483,-0.123771735,0.25450012,0.13300915
2761584271482,-0.59896255,0.51587456,-0.28299776
2761604271482,-0.8071679,0.18492135,0.18730912
2761624271483,-0.39776844,0.2463455,0.7866787
2761644271482,-0.42432946,-0.21104723,1.0455555
2761664271482,0.6445884,-1.329918,0.6662579
2761684271483,2.7416918,-2.325684,-0.27625853
2761704271482,2.5675068,-2.2940993,-0.1354007
2761724271482,1.1784356,-1.474841,0.59802467
2761744271483,0.4946987,-0.85269636,0.58993894
2761764271482,-0.51450175,-0.13135187,0.21205422
2761784271482,-2.5313454,1.3898798,0.7106251
2761804271483,-2.891938,1.9353485,0.3634639
2761824271482,-1.7362213,1.1276418,-0.9603903
2761844271482,-0.20186831,0.01350721,-1.2033168
2761864271483,0.6840541,-0.6426331,0.06607701
2761884271482,0.72833765,-0.90817636,0.19243333
2761904271482,0.4567762,-0.6727796,0.78481495
2761924271483,0.3014244,-0.3547518,2.728518
2761944271482,0.09429091,-0.4561787,1.2909855
2761964278715,0.60976326,-0.7730639,-0.037924375
2761984278716,0.82902795,-0.8033725,-0.30019563
