UPTIMENANO,Ax,Ay,Az
3220193044640,-0.11190042,-0.10709641,9.907703
3220212903072,-0.06439864,-0.08588594,9.960187
3220232761377,-0.13938287,-0.08652007,9.975656
3220252619430,-0.1502414,0.0786489,9.797045
3220272477734,-0.05885172,0.16180515,9.670622
3220292336039,0.08813658,0.0991503,9.70887
3220312194470,0.24427311,-0.12950414,9.910889
3220332059552,0.24430393,-0.271708,10.001409
3220351918113,0.017048988,-0.25067994,9.8753
3220371776672,-0.1965618,-0.08628375,9.740726
3220391635232,-0.1864402,-0.025423849,9.767092
3220411493793,-0.102839015,-0.05336528,9.852759
3220431348030,-0.059400972,0.011731351,9.742586
3220451206590,0.01923543,0.017690567,9.584496
3220471065023,0.2671533,0.07384527,9.348503
3220490923582,0.5896406,0.020264126,9.395426
3220510782014,0.8542809,-0.17561118,9.636986
3220530640575,1.1298063,-0.16664182,9.480968
3220550486620,0.82286835,-0.01658231,9.435562
3220570344924,0.36755148,0.15224196,9.654052
3220590203101,0.86714274,-0.13038398,9.836191
3220610061404,0.85625994,-0.43683326,10.084379
3220629915497,0.51567096,-0.32783183,10.336869
3220649773802,0.58937305,-0.50390565,10.4459505
3220669631977,-0.07310804,-0.36065918,10.335334
3220689490153,-0.27718434,-0.11812192,9.993683
3220709348330,0.416146,-0.1430661,9.718911
3220729197684,0.62977046,-0.3212854,9.930211
3220749055604,0.37179092,-0.4252524,9.964795
3220768913653,0.35791898,-0.20211513,9.468117
3220788771572,0.42529613,-0.1180196,9.3514
3220808629620,0.45502234,-0.31821752,9.629561
3220828487541,0.23744093,-0.45507222,9.620106
3220848348800,-1.203081,-0.081207655,9.31247
3220868206848,-3.9192383,-1.5941875,13.420566
3220888064897,0.82743996,-1.1922141,10.916717
3220907922944,2.1641605,-0.3063396,9.672828
3220927786319,1.3965266,-0.81019723,11.21994
3220947644496,-0.08272914,-1.497727,12.494037
3220967502671,-0.6040162,0.58898574,8.739126
3220987360719,-0.6357705,1.9111719,7.0181794
3221007218896,-0.75341773,0.39527056,9.248175
3221027077071,-0.17829864,-0.962143,10.41916
3221046926397,-0.2885916,-0.54587793,9.883586
3221066784318,-0.790145,0.5122732,8.85582
3221086642237,-1.0579942,0.6829957,9.487311
3221106500157,-0.05634222,-0.19693975,10.309916
3221126358078,1.2331414,-0.49769062,10.025748
3221146214467,0.3038618,-0.27831537,9.848407
3221166072387,0.2153464,0.035589173,9.553827
3221185930180,0.28887168,0.25367203,9.414541
3221205787971,0.6676106,-0.531058,10.469329
3221225644678,0.7989457,-1.1621172,10.361493
3221245502471,0.091380164,-0.038532507,9.212926
3221265360262,-1.1375635,0.9348495,8.9275255
3221285218054,-1.2866684,0.5086692,9.324699
3221305075719,-1.1631126,-0.1431296,9.563726
3221324933510,-0.7559109,-0.8463866,9.956256
3221344798421,-0.5740623,-0.54505676,9.867971
3221364656342,-0.7184373,-0.019404674,9.725938
3221404848978,-0.40624946,-0.21505621,9.680705
3221424706898,0.23500642,-0.32838592,9.46465
3221444564819,0.14171183,-0.4488223,9.762586
3221464429304,-0.5359985,-0.3646721,10.00402
3221484287352,-0.62891686,-0.19074167,9.878931
3221504145401,-0.15789041,-0.6279037,10.394752
3221524003448,0.6172191,-1.3584616,10.9182825
3221543859072,0.59940475,-1.0193574,10.573093
3221563717121,0.62246114,-0.759103,9.841721
3221583575168,0.3652017,-0.418812,9.475407
3221603433088,-0.3292946,-0.40805653,9.216906
3221623291137,-0.47071755,-0.13304116,8.9186735
3221643149056,-0.521899,-0.09748967,8.502453
3221663011846,-0.2817914,-0.58707976,8.780656
3221682869895,-0.11369465,-1.2850564,9.084555
3221702727942,-0.19378738,-1.4190909,9.173796
3221722585990,0.22866154,-1.275361,9.114776
3221742444167,0.8722988,-1.1120509,9.242508
3221762302054,-0.5159626,-0.8397211,10.509192
3221782160230,-0.69106174,-0.51675785,10.346604
3221802018407,0.84074336,-0.4891957,7.798168
3221821876454,-0.8122536,-0.005429306,8.741066
3221841739482,-2.0841858,0.2892807,10.685079
3221861597787,-1.3879099,-0.25327674,9.916771
3221881456090,-0.5085592,-0.3629948,9.302395
3221901314266,-0.5491095,-0.17151666,9.283612
