UPTIMENANO,P
3220195730256,998.4587
3220297653333,998.461
3220394173480,998.4699
3220493318779,998.47394
3220595730256,998.4782
3220691762002,998.4798
3220790815726,998.4771
3220893379829,998.47046
3220989197900,998.47107
3221088556874,998.46967
3221190296801,998.45245
3221287000097,998.4516
3221406510511,998.4465
3221507823087,998.45404
3221604923209,998.4512
3221704099033,998.4499
3221806205260,998.4489
3221902420157,998.43866
3222001565456,998.43567
3222104282183,998.43274
3222200252879,998.43274
3222299428704,998.4281
3222399886579,998.4265
3222497536152,998.42694
3222596467776,998.43414
3222695765700,998.4429
3222794972049,998.452
3222894117348,998.4632
3222993018447,998.4657
3223091797446,998.46765
3223190545920,998.47
3223292591097,998.47217
3223388317592,998.4672
3223505044906,998.4713
3223609715236,998.48047
3223705869082,998.4775
3223802206079,998.47925
3223901381903,998.48157
3224000221952,998.4786
3224099458826,998.48224
3224198695700,998.48474
3224297840999,998.48
3224396467373,998.477
3224496009497,998.5183
3224595002171,998.5152
3224694208521,998.514
3224793598020,998.5143
3224892377019,998.51465
3224991644418,998.5205
3225091674943,998.5154
3225190850767,998.5123
3225289660291,998.5093
3225389202415,998.5026
3225504863613,998.4976
3225617535745,998.5018
3225716925244,998.5073
3225816314743,998.506
3225915765294,998.5028
3226015215843,998.5054
3226114696918,998.5036
3226214208517,998.5004
3226313567492,998.499
3226412987517,998.49786
3226512377016,998.49976
3226611797041,998.5001
3226711644416,998.49725
3226811491791,998.5009
3226910545516,998.49585
3227009904491,998.4943
3227109996066,998.49304
3227208775065,998.49524
3227308011940,998.492
3227407554065,998.49274
3227506851990,998.49805
3227606180439,998.5001
3227705630990,998.4968
3227805020489,998.49896
3227904501564,998.50116
3228003982639,998.5045
3228103524764,998.5134
3228202883739,998.5134
3228302242714,998.52094
3228401693265,998.51404
3228501143814,998.50903
3228600563828,998.50433
3228699922803,998.50464
3228799220728,998.50464
3228898518653,998.5046
3228998518654,998.5101
3229097877629,998.5067
3229197297654,998.50543
3229296748205,998.5105
3229396198754,998.5126
3229495618779,998.51294
3229595008278,998.5235
3229694428303,998.52515
3229793878852,998.5221
3229893207301,998.519
3229992627326,998.5121
3230092016825,998.51227
3230191528426,998.51965
3230291070551,998.51965
3230390521102,998.52496
3230491467379,998.5232
3230589544302,998.53
3230689239051,998.5303
3230789178002,998.5321
3230888201201,998.5358
3230987957002,998.53925
3231087499127,998.54614
3231186858102,998.541
3231286247601,998.5342
3231385667626,998.5363
3231485087651,998.5346
3231584568712,998.5349
3231684019261,998.53156
3231783408762,998.5297
3231882767737,998.5297
3231982218286,998.5366
3232081699361,998.54175
3232181149910,998.5435
3232280539411,998.53827
3232379501560,998.54047
3232479257359,998.5349
3232579135260,998.5297
3232678555285,998.52295
3232777975310,998.526
3232877456385,998.5332
3232976876410,998.5366
3233076235385,998.5366
3233175808036,998.5346
3233275228061,998.5329
3233374739662,998.524
3233474251261,998.52216
3233573701812,998.52045
3233673152361,998.52045
3233772480812,998.52386
3233871870311,998.5218
3233971229286,998.52386
3234070710361,998.52386
3234170191436,998.5222
3234269519887,998.5256
3234368878862,998.52045
3234468420987,998.52386
3234567779945,998.5256
3234667199970,998.5235
3234766742095,998.51984
3234866192644,998.52325
3234965582145,998.52155
3235065032694,998.518
3235164361143,998.5163
3235263811694,998.5057
3235363231719,998.5023
3235463414870,998.49
3235562346493,998.48645
3235663048570,998.4759
3235761308643,998.46185
3235860881294,998.4567
3235961980195,998.4499
3236060423420,998.44617
3236159935019,998.441
3236259202418,998.441
3236358958219,998.4304
3236458469820,998.4287
3236557920369,998.4164
3236657706694,998.41473
3236757126719,998.41266
3236856638320,998.4088
3236956149919,998.40204
3237055692044,998.3935
3237155203643,998.38654
3237254715244,998.3849
3237354318419,998.37933
3237453860544,998.37933
3237553555281,998.37726
3237653036356,998.3721
3237752364805,998.36664
3237851784830,998.3561
3237952029031,998.3508
3238051449056,998.34717
3238151143805,998.35394
3238250746980,998.3506
3238350136479,998.34717
3238449739654,998.34155
3238556577261,998.3436
3238649068104,998.3382
3238748488129,998.33795
3238848823904,998.3308
3238947725003,998.3308
3239047267128,998.3326
3239148946005,998.32904
3239246351378,998.3217
3239345954553,998.32
3239447236604,998.31793
3239545008277,998.32825
3239644672502,998.31946
3239745527203,998.3229
3239843634652,998.3293
3239943420977,998.34296
3240042902052,998.35126
3240142474703,998.3614
3240241925252,998.3764
3240341467377,998.38654
3240441101076,998.40546
3240540765293,998.4226
3240640185318,998.43756
3240739849543,998.45294
3240839300092,998.4629
3240938811693,998.475
3241038323292,998.4796
3241137895943,998.4915
3241237438068,998.49286
3241336980193,998.4995
3241436491794,998.5026
3241536064443,998.5095
3241635698144,998.5163
3241735240269,998.5196
3241834843444,998.5265
3241934293993,998.5265
3242036888622,998.5261
3242133530869,998.5258
3242232981418,998.531
3242332431969,998.5306
3242431760418,998.5251
3242531241493,998.5302
3242630692044,998.5285
3242730020493,998.5316
3242829440518,998.535
3242928952117,998.535
3243028311092,998.5453
3243127700593,998.54016
3243227090092,998.5464
3243326601693,998.5514
3243425960668,998.55316
3243525930128,998.54785
3243625197527,998.5441
3243724525978,998.53894
3243823976527,998.52496
3243923427078,998.5249
3244022908153,998.53156
3244122450278,998.5431
3244221900827,998.5534
3244321351376,998.5499
3244420710351,998.54645
3244520069326,998.53796
3244619428301,998.5168
3244718848326,998.50946
3244818329401,998.50433
3244917779952,998.504
3245017199977,998.5003
3245116589478,998.4951
3245216009503,998.4934
3245315460054,998.4986
3245415002179,998.50366
3245514483254,998.5135
3245613933803,998.5218
3245717932582,998.5304
3245812804377,998.5423
3245912346502,998.53546
3246011827577,998.54535
3246111339176,998.5523
3246210637101,998.55194
3246310026600,998.545
3246409477151,998.53766
3246509019261,998.5394
3246608317186,998.53766
3246707798261,998.54083
3246807218286,998.54395
3246906577261,998.549
3247006394112,998.54565
3247105722561,998.5469
3247205173110,998.55
3247304562611,998.55347
3247404043686,998.5548
3247503463711,998.55817
3247602914260,998.5545
3247702334285,998.5475
3247801815360,998.5438
3247901265909,998.54675
3248000746984,998.55194
3248100197533,998.55
3248199678608,998.5428
3248299159683,998.53046
3248398518658,998.5355
3248498060783,998.54553
3248597663958,998.54834
3248697175557,998.5689
3248796626108,998.5702
3248896565059,998.5702
3248997175560,998.58386
3249096656635,998.57855
3249195557734,998.57684
3249295038809,998.56793
3249394672510,998.56415
3249498579701,998.54364
3249593085196,998.5333
3249693726223,998.5466
3249793970424,998.5565
3249893756749,998.56683
3249994031474,998.56824
3250092963095,998.55286
3250192047344,998.5444
3250291070543,998.54083
3250391162118,998.5319
3250490276892,998.51965
3250590643193,998.5093
3250690246367,998.50397
3250790032692,998.4851
3250909433749,998.4796
3251008914824,998.47797
3251108456949,998.4588
3251207754874,998.4481
3251307235949,998.4481
3251406564398,998.43445
3251506045473,998.42413
3251605496022,998.41895
3251704977097,998.41675
3251804458172,998.4199
3251903786623,998.4113
3252003206648,998.4061
3252102535097,998.4007
3252201955122,998.39215
3252301497247,998.3711
3252400886748,998.3591
3252500337297,998.364
3252599787848,998.37427
3252699268923,998.3639
3252798811048,998.35864
3252898261597,998.3549
3252997834248,998.33435
3253097284797,998.32745
3253201405676,998.33075
3253296063797,998.3237
3253395392246,998.322
3253494903847,998.322
3253594384922,998.32324
3253693652321,998.3199
3253793102872,998.3127
3253892522882,998.31793
3253991942907,998.3093
3254091423982,998.3059
3254190569281,998.3059
3254290355606,998.3037
3254389928257,998.30054
3254489317756,998.3039
3254588707255,998.3056
3254688127280,998.3056
3254787608355,998.3159
3254887119956,998.3189
3254986662081,998.3288
3255086051582,998.3477
3255185471607,998.3527
3255284952682,998.3767
3255384464281,998.39545
3255484006406,998.4038
3255583456955,998.42255
3255682815930,998.43945
3255782266479,998.4633
3255881655978,998.4771
3255981137053,998.4819
3256080587602,998.4973
3256180099203,998.51953
3256279488702,998.53687
3256378908727,998.5451
3256478511902,998.55505
3256579183453,998.5585
3256677351952,998.56024
3256776771977,998.56024
3256876191991,998.55505
3256975581490,998.5567
3257074909941,998.5567
3257174360490,998.56537
3257273811041,998.5687
3257373261590,998.57355
3257472773191,998.5787
3257572193216,998.577
3257671552191,998.56793
3257770697490,998.56976
3257870819591,998.5715
3257970148040,998.5728
3258069629115,998.5728
3258169018616,998.57434
3258268438641,998.5779
3258367889192,998.57764
3258467431317,998.57935
3258567339742,998.5724
3258667980769,998.58093
3258767248168,998.57544
3258866423993,998.57764
3258966057694,998.5807
3259065386143,998.57855
3259164989318,998.57855
3259264348293,998.5715
3259363585168,998.5732
3259462852569,998.5766
3259562211544,998.5745
3259661356843,998.57764
3259760929494,998.58105
3259860807376,998.58795
3259960105301,998.5774
3260059647426,998.57886
3260159372701,998.57886
3260258884302,998.57886
3260363279907,998.5824
3260459036928,998.59094
3260557785403,998.5907
3260657358052,998.58856
3260756778077,998.5902
3260856320202,998.58514
3260955801277,998.58514
3261055496026,998.5863
3261154946577,998.58295
3261254610802,998.5808
3261354030827,998.57733
3261453634002,998.5788
3261553481377,998.58594
3261653023502,998.584
3261752626677,998.5874
3261852199328,998.5857
3261951680403,998.5874
3262051283578,998.5857
3262150917279,998.5783
3262250245728,998.5799
3262349787853,998.5712
3262450978330,998.5712
3262548872103,998.5709
3262648597378,998.5692
3262749421555,998.5689
3262847803713,998.5705
3262947315312,998.56537
3263047284787,998.56506
3263146491136,998.56506
3263245972211,998.5631
3263345117510,998.5596
3263445148035,998.5613
3263544781736,998.5558
3263644140711,998.5558
3263743865986,998.5537
3263847254265,998.5606
3263942797612,998.5657
3264042553411,998.56226
3264142156586,998.5657
3264241759761,998.5588
3264341393460,998.55505
3264440935585,998.5531
3264540447184,998.5492
3264639958785,998.54584
3264739561960,998.5475
3264839165135,998.54407
3264938707260,998.5406
3265038432535,998.5402
3265138035710,998.535
3265237486259,998.5299
3265336753660,998.51764
3265436906285,998.50574
3265536448410,998.4972
3265636662085,998.49036
3265735654760,998.4835
3265835257925,998.4835
3265936478926,998.47797
3266034372699,998.4797
3266133823250,998.4694
3266235349501,998.45715
3266333029600,998.45886
3266432571725,998.4554
3266532968552,998.4499
3266631594925,998.4465
3266731167576,998.4325
3266830831801,998.4256
3266930312876,998.4239
3267029885527,998.41327
3267129458176,998.41125
3267228969777,998.4077
3267328572952,998.39886
3267428267703,998.3938
3267527931928,998.3904
3267633121183,998.39545
3267727046702,998.3921
3267826863553,998.3918
3267927077228,998.3849
3268027077229,998.3777
3268127077230,998.3777
3268228572957,998.3708
3268325978316,998.36395
3268425093090,998.36194
3268524268914,998.35645
3268623688938,998.3585
3268723231063,998.36194
3268822406887,998.35645
3280886156295,998.6045
3280985576320,998.6008
3281085057395,998.5991
3281184355320,998.5991
3281283622721,998.5969
3281382890120,998.59863
3281482218569,998.5969
3281581516494,998.59863
3281680753369,998.5966
3281780081818,998.5984
3281880051293,998.5984
3281979532368,998.6034
3282079227117,998.6034
3282184141648,998.603
3282278341893,998.60834
3282377761918,998.60815
3282477212467,998.6117
3282576632492,998.6013
3282676113567,998.603
3282775442016,998.60266
3282874770467,998.6025
3282974190492,998.5952
3283073610517,998.5974
3283173061066,998.6041
3283272542141,998.60034
3283371992690,998.5935
3283471473765,998.58453
3283570924316,998.5829
3283670283291,998.57587
3283769794892,998.5791
3283869459103,998.58435
3283969001228,998.5877
3284068421253,998.5893
3284167749704,998.5838
3284267658129,998.58563
3284367261304,998.5838
3284466925529,998.57324
3284566467654,998.56976
3284665948729,998.56116
3284765521380,998.5576
3284865246655,998.5455
3284964666680,998.5424
3285064117229,998.5372
3285165185606,998.5318
3285263384629,998.5283
3285362926754,998.5249
3285463689881,998.52155
3285561858380,998.51984
3285661369979,998.51605
3285761308930,998.52124
3285860515281,998.5212
3285960087930,998.5332
3286059843731,998.5382
3286159263756,998.5515
3286258897457,998.5614
3286358317482,998.56964
3286457920657,998.5833
3286557523832,998.5936
3286656943857,998.5988
3286756485982,998.6039
3286856150190,998.60913
3286955600741,998.60864
3287055203916,998.61365
3287154654467,998.612
3287254227116,998.6172
3287353799767,998.6257
3287453341892,998.6274
3287552914543,998.6274
3287652395618,998.6274
3287752059843,998.6271
3287851449342,998.6271
3287950991467,998.6184
3288050289392,998.6165
3288150380967,998.6165
3288249892568,998.61475
3288349343117,998.61304
3288448976818,998.61475
3288548427367,998.6183
3288648671568,998.6183
3288747603193,998.6197
3288847114792,998.6282
3288948976819,998.6247
3289046351666,998.62976
3289145893791,998.6315
3289247877918,998.61707
3289344978041,998.6242
3289444611742,998.6256
3289547145319,998.6307
3289643940192,998.6306
3289743634943,998.6254
3289843116002,998.6237
3289942658127,998.6184
3290042139202,998.62177
3290141528703,998.62146
3290241315028,998.6195
3290340918203,998.6246
3290440338228,998.62805
3290539910879,998.6312
3290639453004,998.62415
3290738964605,998.61914
3290838598306,998.62036
3290938140431,998.6254
3291037621506,998.6254
3291137194155,998.6306
3291236705756,998.6289
3291336308931,998.6237
3291435851056,998.6203
3291535362655,998.6183
3291634965830,998.61475
3291734569005,998.6111
3291834111130,998.61304
3291933775355,998.6145
3292033989030,998.61273
3292134935307,998.61273
3292232920656,998.61273
3292332584881,998.61273
3292433164856,998.61414
3292531791231,998.6176
3292631363880,998.61383
3292731272305,998.61725
3292830753365,998.6223
3292930234440,998.6172
3293029898665,998.612
3293129227114,998.6172
3293229013439,998.62225
3293336461546,998.6235
3293428250313,998.62695
3293527761914,998.6253
3293627181939,998.62164
3293726693540,998.6165
3293826296715,998.6178
3293925869366,998.6212
3294025411491,998.61957
3294125045192,998.6144
3294224678893,998.6178
3294324251542,998.6144
3294423885243,998.6123
3294523427368,998.6106
3294623000019,998.6102
3294722511620,998.6153
3294822206369,998.61194
3294921687444,998.6115
3295021199043,998.6115
3295120710644,998.615
3295220252769,998.61456
3295320588546,998.6128
3295419398069,998.6128
3295518879144,998.6077
3295620405395,998.6077
3295718085494,998.6009
3295817780227,998.6044
3295919123328,998.61115
3296017078151,998.60223
3296116589752,998.5988
3296216528703,998.60223
3296315612952,998.6038
3296415185601,998.60223
3296514575102,998.595
3296614391951,998.5932
3296713873026,998.5966
3296813262525,998.5928
3296912926750,998.5946
3297012529925,998.5963
3297111980474,998.5983
3297211583649,998.595
3297311217348,998.58954
3297410606849,998.58746
3297510179498,998.58716
3297609660573,998.5837
3297709263748,998.58026
3297808897449,998.57825
3297908439574,998.5854
3298007798549,998.5906
3298107249098,998.5974
3298206669123,998.5939
3298306089148,998.5936
3298405478647,998.5971
3298504868148,998.60004
3298604379747,998.5949
3298703799772,998.5983
3298803463987,998.60004
3298902731388,998.60516
3299002181937,998.60516
3299101632488,998.6034
3299201144087,998.60474
3299300564112,998.6046
3299399923087,998.5994
3299499221012,998.59607
3299598549463,998.5977
3299698335788,998.5805
3299797908439,998.5788
3299897358988,998.5771
3299996656913,998.5874
3300096076938,998.58704
