UPTIMENANO,Ax,Ay,Az
3220144059623,-0.24157031,0.13639346,-0.36325708
3220164059623,-0.08336369,-0.15903161,0.073367625
3220184059624,-0.07586332,-0.2129001,0.24514952
3220204059623,-0.0908905,-0.08466365,0.13019621
3220224059623,-0.105169974,-0.08196627,0.16221069
3220244059624,-0.14898755,0.006076759,0.06735194
3220264059623,-0.09791224,0.124133766,-0.082424805
3220284059623,0.018692309,0.12490385,-0.113806084
3220304059624,0.15729302,-0.02211351,0.021952366
3220324059623,0.22721379,-0.20219295,0.1588996
3220344059623,0.100243516,-0.2550375,0.11866483
3220364059624,-0.11529448,-0.15164748,-0.013608134
3220384059623,-0.1959429,-0.048791606,-0.049733847
3220404059623,-0.15301517,-0.03774359,0.013400726
3220424059624,-0.11598175,-0.0029958147,-0.024014177
3220444059623,-0.07072998,0.028095791,-0.16563034
3220464059623,0.039579213,0.08285237,-0.37312
3220484059624,0.19382583,0.11522403,-0.41828227
3220504059623,0.4377238,-0.032925542,-0.23319194
3220524059623,0.5106439,-0.073143266,-0.20970218
3220544059624,0.17878619,0.018644102,-0.3118261
3220564059623,-0.06927459,0.15561324,-0.20691717
3220584059623,-0.10119934,0.006804437,-0.0049941675
3220604059624,-0.024317995,-0.17071262,0.24252579
3220624059623,0.055148896,-0.24694899,0.47711965
3220644059623,-0.07327589,-0.35121697,0.62668514
3220664059624,-0.50135213,-0.2982245,0.5551453
3220684059623,-0.58285606,-0.1422946,0.26665547
3220704059623,-0.1893747,-0.092432074,-0.01628777
3220724059624,0.12352236,-0.23632415,0.08442889
3220744059623,0.15380557,-0.36876816,0.15937755
3220764059623,0.01799283,-0.2101938,-0.20816624
3220784059624,0.036315028,-0.069661945,-0.4184242
3220804059623,0.24720064,-0.22538954,-0.23401657
3220824059623,0.09650225,-0.3377922,-0.17477523
3220844059624,-1.0054116,-0.044266842,-0.43432963
3220864059623,-3.3777232,-1.0929308,2.7666614
3220884059623,-0.08905808,-1.3561387,1.5967954
3220904059624,1.9638143,-0.6585518,0.085897684
3220924059623,1.6149676,-0.8634935,1.1014645
3220944059623,0.3229855,-1.7093741,2.387618
3220964059624,-0.357449,-0.07635244,-0.41011113
3220984059623,-0.6069844,1.5881988,-2.4855156
3221004059623,-0.8045182,0.5443634,-0.9203077
3221024059624,-0.4110851,-0.7911649,0.42841375
3221044059623,-0.4104926,-0.655984,0.14637919
3221064059623,-1.0270553,0.25881657,-0.85513675
3221084059624,-1.4102429,0.5808213,-0.44625893
3221104059623,-0.36407605,-0.073422015,0.3929453
3221124059623,0.8208926,-0.6022135,0.26964083
3221144059624,0.29257897,-0.35902005,0.06421418
3221164059623,0.26838005,-0.048431125,-0.22432035
3221184059623,0.47415534,0.12370139,-0.39301908
3221204059624,0.9351087,-0.59732485,0.5417337
3221224059623,0.98954684,-1.2418692,0.531913
3221244059623,0.47299972,-0.28252283,-0.5304055
3221264059624,-0.7613123,0.84713435,-0.83044446
3221284059623,-1.1912413,0.52885705,-0.4937277
3221304059623,-0.9986888,-0.09829676,-0.22890784
3221324059624,-0.59688306,-0.7220734,0.15189566
3221344059623,-0.51973474,-0.51227385,0.07052892
3221384394212,-0.62222743,0.04416379,-0.06797724
3221404394213,-0.33477676,-0.14387159,-0.12064002
3221424394212,0.22212788,-0.2789182,-0.33694938
3221444394212,0.102577254,-0.32302272,-0.03860346
3221464394213,-0.6030625,-0.21636368,0.1973742
3221484394212,-0.65766793,-0.12950179,0.0740604
3221504394212,-0.21549469,-0.5007775,0.6008464
3221524394212,0.47886163,-1.2731944,1.121237
3221544394212,0.47562575,-0.96227616,0.7577516
3221564394212,0.44260707,-0.68609726,0.03634989
3221584394212,0.27052233,-0.36054784,-0.33544943
3221604394213,-0.33932772,-0.30925062,-0.60102636
3221624394212,-0.45632052,0.032209888,-0.9092919
3221644394212,-0.47447976,0.06354192,-1.2859759
3221664394213,-0.3062032,-0.3873942,-0.9916026
3221684394212,-0.22552627,-0.9287371,-0.67295766
3221704394212,-0.17481096,-1.161155,-0.5875831
3221724394213,0.26930758,-1.0010507,-0.64761007
3221744394212,0.69075084,-0.7076404,-0.39924192
3221764394212,-0.5427877,-0.4737276,0.7153879
3221784394213,-0.3382939,-0.30649135,0.269382
3221804394212,0.9091122,-0.37576073,-1.9217441
3221824394212,-0.5427885,0.25225046,-0.7664801
3221844394213,-1.2229425,0.4867262,0.8828546
3221864394212,-0.32107595,-0.17741151,0.10474251
3221884394212,0.100484475,-0.53310615,-0.51580226
3221904394213,0.1345445,-0.40522406,-0.5115251
3221924394212,0.23322886,-0.4376161,-0.4130748
3221944394212,0.16039956,-0.47369963,0.08692638
3221964394213,0.018853886,-0.45349443,0.51472735
3221984394212,-0.005055056,-0.41227758,0.66642725
3222004394212,-0.08492102,-0.4338706,0.7989749
3222024394213,-0.14928262,-0.31608763,0.7660596
3222044394212,-0.013711416,-0.1213498,0.64253145
3222064394212,0.13092369,-0.31866354,0.6451685
3222084394213,0.1441242,-0.74805284,0.46909568
3222104394212,0.23129472,-1.0156983,-0.009552845
3222124394212,0.28344393,-1.2193946,-0.3463179
3222144394213,0.31839952,-1.4738567,-0.39802527
3222164394212,0.14820604,-1.4062333,-0.5522743
3222184394212,-0.4405593,-0.88190573,-0.6205981
3222204394213,-0.7016695,-0.40621158,-0.33303183
3222224394212,-0.90158474,-0.72503704,-0.34198126
3222244394212,-2.1985188,-0.8870957,-1.5036951
