UPTIMENANO,Mx,My,Mz
3220153327904,8.542231,-1.7461376,-40.24879
3220173186209,8.542231,-1.7461376,-40.24879
3220193044640,8.542231,-1.7461376,-40.24879
3220212903072,8.392231,-1.7461376,-40.24879
3220232761377,8.392231,-1.7461376,-40.24879
3220252619430,8.392231,-1.7461376,-40.24879
3220272477734,8.392231,-1.7461376,-40.698788
3220292336039,8.392231,-1.4461384,-42.34879
3220312194470,8.392231,-1.4461384,-41.74879
3220332059552,8.242231,-1.4461384,-42.048794
3220351918113,8.242231,-1.7461376,-41.74879
3220371776672,8.242231,-1.596138,-41.74879
3220391635232,8.242231,-1.596138,-41.74879
3220411493793,8.242231,-1.596138,-41.74879
3220431348030,8.242231,-1.596138,-41.74879
3220451206590,8.242231,-1.596138,-41.74879
3220471065023,7.94223,-1.596138,-41.74879
3220490923582,7.94223,-1.596138,-41.448788
3220510782014,7.7922306,-1.4461384,-41.448788
3220530640575,7.3422318,-0.9961376,-41.448788
3220550486620,5.392231,-0.096138,-41.448788
3220570344924,2.2422314,3.2038612,-41.298794
3220590203101,-0.4577694,3.2038612,-41.148792
3220610061404,-2.4077702,3.3538628,-40.84879
3220629915497,-3.7577686,3.3538628,-41.148792
3220649773802,-5.55777,4.103863,-40.84879
3220669631977,-6.607769,5.903862,-40.84879
3220689490153,-7.357769,5.0038643,-40.398792
3220709348330,-7.5077705,5.153862,-40.398792
3220729197684,-10.05777,5.153862,-40.24879
3220749055604,-10.957771,5.3038635,-40.24879
3220768913653,-10.957771,6.0538635,-40.09879
3220788771572,-11.55777,6.653862,-39.798794
3220808629620,-12.457771,7.103863,-39.49879
3220828487541,-12.907768,7.103863,-39.048794
3220848348800,-13.05777,7.103863,-38.448788
3220868206848,-13.507771,7.2538643,-37.24879
3220888064897,-13.357769,7.5538635,-37.548794
3220907922944,-13.357769,7.5538635,-37.99879
3220927786319,-13.357769,7.5538635,-37.84879
3220947644496,-13.357769,7.403862,-37.84879
3220967502671,-13.357769,7.103863,-37.84879
3220987360719,-13.357769,6.953861,-37.84879
3221007218896,-13.357769,6.653862,-37.84879
3221027077071,-13.357769,6.353863,-37.84879
3221046926397,-13.357769,4.703861,-37.84879
3221066784318,-13.357769,4.2538643,-37.548794
3221086642237,-13.80777,5.153862,-37.398792
3221106500157,-14.407768,5.153862,-37.398792
3221126358078,-16.207771,5.0038643,-36.648792
3221146214467,-16.657768,5.0038643,-35.898792
3221166072387,-17.707771,5.0038643,-34.24879
3221185930180,-17.707771,5.0038643,-34.698788
3221205787971,-17.707771,5.0038643,-34.698788
3221225644678,-17.707771,5.0038643,-34.698788
3221245502471,-17.707771,5.0038643,-34.698788
3221265360262,-17.55777,4.853863,-34.99879
3221285218054,-17.25777,4.703861,-35.148792
3221305075719,-16.957771,4.703861,-36.198788
3221324933510,-16.207771,5.3038635,-37.99879
3221344798421,-15.907768,5.453861,-37.24879
3221364656342,-15.30777,5.453861,-36.948788
3221404848978,-15.30777,5.3038635,-36.948788
3221424706898,-15.607769,5.3038635,-36.948788
3221444564819,-15.607769,5.3038635,-36.948788
3221464429304,-15.907768,5.3038635,-36.948788
3221484287352,-15.907768,5.3038635,-36.34879
3221504145401,-15.907768,5.453861,-36.798794
3221524003448,-16.05777,5.7538643,-36.198788
3221543859072,-16.357769,5.903862,-36.198788
3221563717121,-16.957771,5.903862,-35.74879
3221583575168,-17.707771,5.7538643,-35.74879
3221603433088,-18.30777,5.903862,-35.298794
3221623291137,-17.707771,6.0538635,-35.898792
3221643149056,-18.607769,6.0538635,-35.74879
3221663011846,-18.907768,6.353863,-34.99879
3221682869895,-19.80777,6.5038643,-34.548794
3221702727942,-19.80777,6.653862,-34.09879
3221722585990,-19.80777,6.953861,-34.09879
3221742444167,-20.25777,9.353863,-34.09879
3221762302054,-20.55777,9.053864,-34.09879
3221782160230,-20.857769,9.053864,-34.24879
3221802018407,-21.907772,9.053864,-34.24879
3221821876454,-21.75777,9.053864,-34.24879
3221841739482,-21.75777,9.053864,-34.24879
3221861597787,-21.607769,9.053864,-34.24879
3221881456090,-21.457771,9.053864,-34.24879
3221901314266,-20.857769,9.203861,-34.24879
3221921172571,-19.50777,9.653862,-34.548794
3221941030874,-17.25777,10.553864,-34.698788
3221960898802,-14.407768,12.353863,-35.298794
3221980757363,-13.357769,12.053864,-36.798794
3222000615922,-12.30777,12.053864,-36.798794
3222020474482,-12.907768,12.053864,-37.84879
3222040333043,-12.907768,12.653862,-37.99879
3222060189249,-12.907768,13.553864,-38.448788
3222080047809,-12.907768,13.553864,-38.898792
3222099906370,-12.907768,13.703861,-38.448788
3222119764929,-12.907768,14.153862,-38.448788
3222139623489,-13.207771,14.903862,-38.448788
3222159481922,-13.207771,14.603863,-38.448788
3222179335044,-13.507771,14.753864,-38.448788
3222199193476,-13.957771,14.753864,-37.99879
3222219051909,-13.957771,15.053864,-37.398792
3222238910212,-15.457771,15.803864,-34.24879
3222258766486,-16.50777,16.253864,-34.99879
3222278624791,-17.25777,17.453861,-34.24879
3222298483094,-18.607769,17.753864,-33.49879
3222318341398,-20.857769,18.353863,-32.74879
3222338199831,-22.80777,19.553864,-32.74879
3222358057852,-24.607769,20.003864,-31.698792
3222377916156,-25.80777,19.853863,-30.648788
3222397774460,-27.00777,20.153862,-28.09879
3222417632764,-28.357769,20.603863,-24.49879
3222437491068,-31.657772,21.503864,-20.59879
3222457350062,-32.55777,21.503864,-17.898788
3222477208366,-36.00777,21.803864,-13.398788
3222497066670,-37.20777,21.203865,-11.148788
3222516924974,-40.05777,20.453865,-8.748791
3222536783278,-40.507774,19.553864,-7.6987877
3222556634536,-42.607773,17.153862,-6.79879
3222576492712,-45.007774,12.653862,-5.598789
3222596351016,-43.80777,5.7538643,-3.9487877
3222616209192,-42.30777,-2.0461369,-2.8987885
3222636067368,-41.107773,-16.446138,-1.6987877
3222655923264,-38.70777,-21.39614,-1.6987877
3222675781312,-37.80777,-27.24614,-1.6987877
3222695639488,-35.25777,-30.39614,-1.6987877
3222715497664,-29.407772,-32.79614,-1.6987877
3222735355712,-20.857769,-35.79614,-1.2487907
3222755210871,-17.25777,-37.74614,-1.2487907
3222775068919,-15.157768,-37.44614,-1.0987892
3222794926967,-10.957771,-38.04614,-0.9487877
3222814785015,-9.907768,-38.94614,-0.49879074
3222834643063,-8.55777,-39.096138,0.40121078
3222854494857,-8.55777,-39.096138,1.1512108
3222874352777,-7.9577713,-39.39614,2.3512115
3222894210697,-8.107769,-39.99614,2.201212
3222914068617,-8.707771,-39.69614,2.201212
3222933926409,-9.157768,-39.99614,2.201212
3222953790552,-9.457771,-39.69614,2.201212
3222973648472,-9.757771,-39.69614,2.201212
3222993506520,-10.657768,-39.54614,2.201212
3223013364568,-13.207771,-39.24614,2.201212
3223033222488,-16.957771,-38.49614,2.201212
3223053078549,-17.857769,-37.14614,2.3512115
3223072936597,-18.30777,-35.04614,2.8012104
3223092794517,-18.607769,-34.14614,3.2512112
3223112652565,-18.157768,-33.54614,4.6012115
3223132510485,-18.607769,-32.94614,6.1012115
3223152369258,-19.207771,-30.99614,9.701212
3223172227178,-19.80777,-29.196138,14.651211
3223192085226,-19.80777,-29.49614,14.051212
3223211943146,-19.80777,-29.196138,14.351212
3223231801194,-19.957771,-28.446138,14.651211
3223251658613,-19.957771,-27.846138,15.551212
3223271516533,-20.407768,-26.796139,15.551212
3223291374581,-20.707771,-25.296139,15.851212
3223311232501,-21.30777,-23.946138,16.15121
3223331090549,-21.907772,-23.796139,16.15121
3223350952187,-24.00777,-23.796139,16.301212
3223370810235,-25.80777,-20.946138,16.301212
3223408463845,-27.157772,-20.646137,16.751213
3223428321893,-27.157772,-20.196138,17.201212
3223448179813,-27.00777,-19.896137,17.201212
3223468046516,-27.157772,-18.99614,18.251213
3223487904692,-27.607769,-18.99614,18.251213
3223507762868,-28.50777,-16.74614,17.801212
3223527621044,-29.55777,-15.396138,17.501213
3223547479220,-30.907772,-15.096138,17.351212
3223567337396,-31.80777,-14.646138,16.90121
3223587200387,-33.75777,-14.196138,16.301212
3223607058691,-34.50777,-12.996138,14.501211
3223626916995,-35.85777,-13.296138,12.701212
3223646775299,-36.30777,-13.596138,10.001211
3223666633603,-36.157772,-13.596138,9.101212
3223686492616,-36.607773,-13.596138,9.401211
3223706351048,-36.607773,-13.596138,9.401211
3223726209352,-36.757774,-13.596138,9.551212
3223746067656,-36.757774,-13.746139,9.551212
3223765926088,-36.757774,-13.746139,9.551212
3223785741550,-36.757774,-13.746139,9.551212
3223805599086,-36.757774,-14.196138,9.551212
3223825456622,-36.757774,-14.496139,9.551212
3223845314158,-36.757774,-15.096138,9.551212
3223865171694,-36.757774,-16.596138,9.551212
3223885036593,-36.607773,-16.896137,9.551212
3223904894257,-35.55777,-18.096138,9.701212
3223924751921,-34.657772,-18.846138,9.701212
3223944609585,-32.407772,-19.596138,9.701212
3223964467249,-31.80777,-20.346138,10.001211
3223984339089,-31.957771,-20.946138,10.151211
3224004197009,-31.957771,-20.946138,10.751211
3224024055057,-32.25777,-21.096138,11.051212
3224043912977,-32.25777,-20.796139,11.201212
3224063770897,-32.25777,-20.796139,12.101212
3224083637545,-32.25777,-20.796139,10.601212
3224103495593,-32.25777,-20.796139,10.601212
3224123353769,-32.407772,-20.796139,10.601212
3224143211945,-32.407772,-20.796139,10.601212
3224163069993,-32.55777,-20.796139,10.601212
3224182930369,-32.55777,-20.796139,10.601212
3224202788545,-32.85777,-20.796139,10.601212
3224222646593,-32.85777,-20.946138,10.451212
3224242504769,-32.70777,-21.39614,10.451212
3224262362817,-32.55777,-22.446138,10.451212
3224282228179,-32.55777,-23.196138,10.451212
3224302086483,-32.407772,-23.946138,10.451212
3224321944787,-31.657772,-25.14614,10.601212
3224341802963,-28.657772,-29.046139,10.601212
3224361661267,-22.657772,-31.89614,10.601212
3224381508007,-18.607769,-34.89614,10.601212
3224401366055,-14.257771,-37.89614,10.601212
3224421224103,-10.507771,-38.94614,10.451212
3224441082151,-6.7577705,-39.39614,10.751211
3224460940199,-6.1577682,-40.14614,10.601212
3224480801727,-5.2577705,-39.99614,10.601212
3224500659775,-5.55777,-39.69614,10.601212
3224520517823,-6.1577682,-39.69614,10.601212
3224540375999,-6.1577682,-39.69614,10.601212
3224560234047,-6.1577682,-39.39614,10.601212
3224580097408,-6.1577682,-39.39614,10.601212
3224599955584,-6.607769,-39.39614,10.601212
3224619813760,-7.357769,-39.39614,10.601212
3224639672064,-9.007771,-39.39614,10.601212
3224659530240,-8.107769,-39.39614,10.151211
3224679389488,-8.107769,-39.54614,9.551212
3224699247664,-7.9577713,-39.69614,8.801212
3224719105968,-7.9577713,-40.596138,8.501211
3224738964144,-7.9577713,-40.14614,8.351212
3224758822320,-7.80777,-40.14614,8.801212
3224778685853,-5.857769,-40.14614,8.951212
3224798544157,-5.7077713,-40.14614,9.101212
3224818402461,-5.55777,-40.14614,9.101212
