UPTIMENANO,Ax,Ay,Az
3220193044640,-0.6610254,5.149292,8.440049
3220212903072,-0.6011499,5.1660576,8.495134
3220232761377,-0.6730005,5.1924024,8.49274
3220252619430,-0.62510014,5.233118,8.260423
3220272477734,-0.5005591,5.213958,8.131092
3220292336039,-0.38320315,5.1468973,8.224498
3220312194470,-0.31135255,5.0343313,8.53585
3220332059552,-0.3424878,4.9457154,8.693921
3220351918113,-0.5460645,4.9505057,8.53106
3220371776672,-0.68737066,5.0582814,8.298743
3220391635232,-0.6610254,5.122947,8.291558
3220411493793,-0.5939649,5.125342,8.394544
3220431348030,-0.5221143,5.108577,8.279583
3220451206590,-0.4047583,4.996011,8.169412
3220471065023,-0.14130616,4.8594947,7.9897857
3220490923582,0.18920656,4.744534,8.128696
3220510782014,0.58677983,4.478687,8.557405
3220530640575,0.85023195,4.3254056,8.471185
3220550486620,0.8167017,4.392466,8.351434
3220570344924,1.0633887,4.4834766,8.49274
3220590203101,1.4298267,4.157754,8.842413
3220610061404,1.8561403,3.9829175,9.127419
3220629915497,2.2704787,3.8847218,9.326206
3220649773802,2.327959,3.7577858,9.496253
3220669631977,2.0237916,3.8535867,9.381292
3220689490153,2.2513185,3.8008962,8.969349
3220709348330,2.8452833,3.530259,8.6077
3220729197684,3.288362,3.3410523,8.782537
3220749055604,3.420088,3.1997461,8.813672
3220768913653,3.2668068,3.2236965,8.291558
3220788771572,3.4536183,3.1973512,8.092772
3220808629620,3.8679566,2.9746144,8.320298
3220828487541,3.652405,2.8907888,8.432864
3220848348800,2.3327491,3.300337,8.475974
3220868206848,1.4154567,3.5733693,13.536651
3220888064897,4.869075,2.3590944,9.592053
3220907922944,5.6450615,2.6105714,7.7239385
3220927786319,5.4606447,2.9458742,9.486672
3220947644496,4.5696974,2.9219239,11.354788
3220967502671,2.5938063,3.7003052,7.527547
3220987360719,1.719624,4.502637,5.484595
3221007218896,2.4836354,3.9733377,8.018526
3221027077071,3.5110989,3.2093263,9.321417
3221046926397,3.3314724,3.3985329,8.684341
3221066784318,2.44771,4.018843,7.561077
3221086642237,2.562671,4.497847,8.049661
3221106500157,4.160149,3.8487966,8.614885
3221126358078,5.216353,3.2236965,8.042476
3221146214467,4.4355764,3.535049,8.061636
3221166072387,4.277505,3.7458107,7.680828
3221185930180,4.263135,3.8847218,7.4509063
3221205787971,5.1061816,3.6260598,8.432864
3221225644678,5.0415163,3.1302907,8.610096
3221245502471,3.7098854,3.661985,7.5970025
3221265360262,2.066902,4.380491,7.6425076
3221285218054,1.9232007,4.1002736,8.267608
3221305075719,2.304009,3.6260598,8.624466
3221324933510,2.8955786,3.173401,9.053174
3221344798421,2.823728,3.3218923,8.8879175
3221364656342,2.5339308,3.7386258,8.643626
3221404848978,2.8093581,3.5206788,8.581355
3221424706898,3.297942,3.3147073,8.238868
3221444564819,3.3314724,3.3099172,8.571775
