UPTIMENANO,Gx,Gy,Gz
3220153327904,-0.09202273,0.041075755,0.015026712
3220163256993,-0.06698901,-0.037221182,-0.012137532
3220173186210,-0.02810686,-0.08356019,-0.0062785777
3220183115424,-0.011595262,-0.0441454,0.016624609
3220193044641,-0.014258424,0.013378881,0.010765654
3220202973858,-0.012127895,0.036282066,0.0011782736
3220212903072,-0.0052036764,0.012846248,1.13009155E-4
3220222832161,6.552781E-4,-0.018579053,-0.002550152
3220232761378,0.005448968,-0.028699065,-4.1962307E-4
3220242690214,0.015036348,-0.020176949,0.010765654
3220252619431,0.01769951,5.9570733E-4,0.023548828
3220262548520,0.01077529,0.004324133,0.02674462
3220272477734,-0.011062631,-0.014317995,0.027277254
3220282406951,-0.04408583,-0.037753813,0.023548828
3220292336040,-0.06965218,-0.05692857,0.016091976
3220302265254,-0.079239555,-0.06278753,0.0054393313
3220312194471,-0.061662693,-0.050004356,-0.0057459455
3220322123688,-0.024911068,-0.031362224,-0.014268061
3220332059552,0.0033184392,-0.01751379,-0.029181762
3220341988897,0.019297406,-0.014317995,-0.045160733
3220351918114,0.021427935,-0.028166432,-0.05208495
3220361847328,0.012373187,-0.04148224,-0.05208495
3220371776673,-9.426186E-4,-0.055330675,-0.051019687
3220381705890,-0.019052114,-0.068113856,-0.048889156
3220391635232,-0.033965815,-0.078766495,-0.046225995
3220401564449,-0.0419553,-0.09740862,-0.04729126
3220411493794,-0.047281623,-0.13416025,-0.053150214
3220421418814,-0.056869,-0.18476032,-0.055280745
3220431348031,-0.08030482,-0.24441512,-0.05900917
3220441277248,-0.12185013,-0.31578782,-0.07285761
3220451206590,-0.17830916,-0.44095638,-0.092032366
3220461135807,-0.2566061,-0.6433567,-0.113870285
3220471065024,-0.37857887,-0.86759484,-0.15168718
3220480994366,-0.51226956,-1.069995,-0.20601566
3220490923583,-0.6124044,-1.2564163,-0.24436517
3220500852800,-0.6688634,-1.4444356,-0.30029157
3220510782014,-0.7130719,-1.6590863,-0.36633795
3220520711359,-0.7700635,-1.9003687,-0.4281233
3220530640576,-0.8558173,-2.1453795,-0.4813865
3220540557532,-0.93997324,-2.302506,-0.51707286
3220550486621,-0.9927038,-2.3983798,-0.52399707
3220560415710,-1.0235965,-2.4393923,-0.49203917
3220570344924,-1.0433038,-2.3919883,-0.47499493
3220580274013,-1.0401081,-2.2886574,-0.46274439
3220590203102,-0.99856275,-2.182131,-0.44356963
3220600132316,-0.9362448,-2.0601583,-0.44197172
3220610061405,-0.87286156,-1.9158151,-0.44783068
3220619990494,-0.80681515,-1.776798,-0.45741805
3220629915497,-0.74023616,-1.6649452,-0.4728644
3220639844586,-0.6773855,-1.6036925,-0.4925718
3220649773803,-0.61826336,-1.550962,-0.5026918
3220659702889,-0.5580759,-1.468404,-0.4877781
3220669631978,-0.49948642,-1.4044881,-0.44090647
3220679561067,-0.45261475,-1.3464313,-0.38284954
3220689490153,-0.4366358,-1.2798522,-0.33864108
3220699419242,-0.44782108,-1.2276542,-0.31733578
3220709348331,-0.46593058,-1.1727931,-0.32053158
3220719268596,-0.47764847,-1.1056814,-0.33970633
3220729197685,-0.47019163,-1.0641361,-0.3674032
3220739126646,-0.46380004,-1.101953,-0.4036222
3220749055604,-0.4717895,-1.1653363,-0.44197172
3220758984565,-0.4978885,-1.2036858,-0.46221176
3220768913654,-0.54049903,-1.1855763,-0.4579507
3220778842612,-0.5719243,-1.0939635,-0.443037
3220788771573,-0.5831096,-0.9496202,-0.42759067
3220798700534,-0.5804465,-0.7791779,-0.42439488
3220808629620,-0.55701065,-0.61352926,-0.4361128
3220818558581,-0.5282485,-0.47291434,-0.45422226
3220828487542,-0.5149327,-0.3615942,-0.4664728
3220838419840,-0.52558535,-0.31418994,-0.39616537
3220848348801,-0.57991385,-0.28915623,-0.30987895
3220858277890,-0.35674095,0.08954529,-0.1554156
3220868206848,0.4592516,0.47889945,0.09332365
3220878135937,0.64940137,0.21471386,0.02887515
3220888064898,0.43581578,0.19607173,-0.17618825
3220897993856,0.3798894,0.20512648,-0.4494286
3220907922945,0.28614613,0.018705204,-0.587913
3220917851906,0.18388076,0.12576428,-0.6470351
3220927786319,0.24513347,0.11937269,-0.7865848
3220937715408,0.4576537,0.04959787,-0.9074923
3220947644497,0.6323571,0.10552425,-0.9234713
3220957573583,0.64194447,0.14227587,-0.85369647
3220967502672,0.4821548,0.023498893,-0.76474684
3220977431633,0.20731658,-0.2209793,-0.6741994
3220987360719,-0.088294305,-0.47717538,-0.5426392
3220997289808,-0.25021452,-0.6188556,-0.416938
3221007218897,-0.24169238,-0.6337693,-0.39882854
3221017147983,-0.17138493,-0.6817062,-0.45262438
3221027077072,-0.13356805,-0.7908958,-0.529856
3221037006161,-0.15327543,-0.99862236,-0.608153
3221046926397,-0.22145236,-1.2175342,-0.6560899
3221056855358,-0.3423599,-1.3890418,-0.6363825
3221066784319,-0.4089389,-1.4348482,-0.5426392
3221076713277,-0.44515792,-1.381585,-0.43451488
3221086642238,-0.37964416,-1.14989,-0.3178684
3221096571199,-0.2235829,-0.85427904,-0.22732094
3221106500157,-0.11279538,-0.6204535,-0.21507041
3221116429118,-0.08030482,-0.5245797,-0.27685574
3221126358079,-0.094153255,-0.46439222,-0.35994637
3221136285635,-0.12557855,-0.30779836,-0.39776325
3221146214468,-0.07764166,-0.12404024,-0.3887085
3221156143429,-0.012127895,0.09593687,-0.3833822
3221166072387,-0.020117378,0.32283822,-0.40149167
3221176001220,0.0017205426,0.5145858,-0.39882854
3221185930181,-0.004138412,0.64614594,-0.40095904
3221195859011,-0.02757423,0.7675861,-0.46061385
3221205787972,0.041135326,0.9316368,-0.54636765
3221215716805,0.11357331,0.9971506,-0.62732774
3221225644678,0.08907223,0.9247126,-0.69816786
3221235573511,-0.024378436,0.692485,-0.7615511
3221245502472,-0.20760392,0.44427836,-0.7823237
3221255431302,-0.41053683,0.3041961,-0.7274626
3221265360263,-0.5021495,0.17316854,-0.65395933
3221275289096,-0.53037906,0.08581686,-0.57832557
3221285218054,-0.5527496,0.06610947,-0.529856
3221295146887,-0.5676633,0.08049054,-0.50375706
3221305075720,-0.5692612,0.06930526,-0.4744623
3221315004678,-0.5607391,0.028292583,-0.48298442
3221324933511,-0.53677064,-0.01804642,-0.5144097
3221334862472,-0.48190954,-0.027101168,-0.5074855
