UPTIMENANO,Ax,Ay,Az
3220144059623,-0.16561013,-0.02031302,-0.42553
3220164059623,-0.1339748,-0.07016949,0.12145104
3220184059624,-0.15314916,-0.025874395,0.29505223
3220204059623,-0.11963118,0.021289673,0.13272229
3220224059623,-0.13391514,0.04388913,0.15566625
3220244059624,-0.14261425,0.0767322,0.023320507
3220264059623,-0.05253506,0.080840126,-0.14998265
3220284059623,0.061399736,0.038503774,-0.15378466
3220304059624,0.14181866,-0.04364733,0.060781397
3220324059623,0.14742455,-0.1360915,0.27839231
3220344059623,0.013050274,-0.17059098,0.24475013
3220364059624,-0.15473582,-0.10477302,0.039425816
3220384059623,-0.19890137,-0.020243557,-0.057237543
3220404059623,-0.15764035,0.012927686,-4.3636974E-4
3220424059624,-0.11007218,0.013006639,-0.041861236
3220444059623,-0.052144434,-0.045820706,-0.16854355
3220464059623,0.07204931,-0.13331427,-0.3531087
3220484059624,0.2285049,-0.17563279,-0.3778144
3220504059623,0.3953272,-0.27980262,-0.11176558
3220524059623,0.42900157,-0.34342223,-0.09000548
3220544059624,0.15051906,-0.19559015,-0.26198497
3220564059623,-0.066497125,0.056070548,-0.2535022
3220584059623,-0.09737119,0.028832138,3.253259E-4
3220604059624,-0.012529797,-0.04257822,0.29424992
3220624059623,0.13000862,-0.039102543,0.5227208
3220644059623,0.04935004,-0.059496835,0.7179705
3220664059624,-0.37428775,0.04849733,0.71136117
3220684059623,-0.49946842,0.09738764,0.41487464
3220704059623,-0.19051605,-0.056060143,0.07233701
3220724059624,0.12843172,-0.20703435,0.13739426
3220744059623,0.18059951,-0.3066181,0.24169493
3220764059623,-0.07319872,-0.2685189,-0.10187204
3220784059624,-0.12184902,-0.21710464,-0.34535313
3220804059623,0.13782188,-0.327982,-0.20026293
3220824059623,0.014505831,-0.38738713,-0.06069064
3220844059624,-1.0957825,-0.022988603,-0.013648375
3220864059623,-2.0807045,0.30460685,3.9794233
3220884059623,0.5315106,-0.70159864,1.9031698
3220904059624,1.8675705,-0.8185501,-0.37388784
3220924059623,1.9319925,-0.5835501,0.7027366
3220944059623,1.2435919,-0.6813295,2.5915766
3220964059624,-0.47189793,-0.19967513,-0.1980728
3220984059623,-1.536151,0.5316919,-2.5349824
3221004059623,-1.1052943,0.2263836,-0.71945953
3221024059624,-0.19433485,-0.50988877,0.82505655
3221044059623,-0.31592208,-0.47927883,0.53919506
3221064059623,-1.2830487,0.0940249,-0.44500914
3221084059624,-1.4609525,0.6158656,-0.10776519
3221104059623,-0.15850891,0.12318811,0.50204355
3221124059623,0.9107764,-0.5190469,0.101531625
3221144059624,0.32478413,-0.32974863,0.06635092
3221164059623,0.15246694,-0.13540709,-0.28829122
3221184059623,0.24137352,-0.020398054,-0.5795792
3221204059624,1.1797358,-0.28201035,0.23107158
3221224059623,1.3985436,-0.82222897,0.41519716
3221244059623,0.32080984,-0.40882567,-0.5610887
3221264059624,-1.2108994,0.32365245,-0.6448588
3221284059623,-1.3811661,0.15429594,-0.105288245
3221304059623,-0.9743626,-0.2491403,0.21905962
3221324059624,-0.34852898,-0.64459145,0.60312617
3221344059623,-0.35759515,-0.4750164,0.4289617
3221384394212,-0.6063582,-0.032427397,0.15816623
3221404394213,-0.31819764,-0.20393091,0.06701456
3221424394212,0.15818653,-0.36412832,-0.28819886
3221444394212,0.15126835,-0.30468404,0.025328182
3221464394213,-0.4429399,-0.18226202,0.4690831
3221484394212,-0.5526066,-0.14900847,0.35665852
3221504394212,0.11522295,-0.27603382,0.7541627
3221524394212,1.1449082,-0.7268706,1.12621
3221544394212,0.9327005,-0.57396525,0.7259585
3221564394212,0.59647965,-0.5583163,0.02113397
3221584394212,0.21883768,-0.4098071,-0.31602472
3221604394213,-0.4359256,-0.5372931,-0.30544552
3221624394212,-0.73535675,-0.35412547,-0.60821325
3221644394212,-0.89646363,-0.4561051,-0.93339366
3221664394213,-0.48124188,-0.7360934,-0.67356
3221684394212,-0.105966195,-1.1092658,-0.35296896
3221704394212,0.007514188,-1.2824391,-0.28175798
3221724394213,0.31443465,-1.0425768,-0.55515116
3221744394212,0.6745597,-0.58773,-0.58036906
3221764394212,0.015464663,-0.4533694,0.9083133
3221784394213,-0.0524276,-0.33357245,0.40856716
3221804394212,0.21511963,-0.40797582,-2.1090426
3221824394212,-0.7994482,-0.20198403,-0.5155838
3221844394213,-0.94509923,-0.04861061,1.2713566
