UPTIMENANO,Ax,Ay,Az
403989383485650,0.5404682,-0.008519455,9.886086
403989393412306,0.5342469,0.035968333,9.935146
403989403339090,0.46155706,0.086517826,9.865308
403989413272357,0.4120777,0.035655815,9.719876
403989423199141,0.29575172,-0.0070489016,9.623181
403989433125925,0.25867802,-0.011187303,9.678979
403989443052709,0.31988627,0.022235818,9.782264
403989452979493,0.3829718,0.06927379,9.808601
403989462906277,0.36182785,0.090430014,9.7168045
403989472832933,0.40982148,0.082866095,9.748398
403989482759717,0.30017826,0.2093647,9.796689
403989492686501,0.27467072,0.29460377,9.8714285
403989502613285,0.4342008,0.26504898,9.979311
403989512557798,0.6018507,0.17447615,10.070387
403989522484710,0.6757014,0.16865624,10.150692
403989532411750,0.7418243,0.21448879,10.270024
403989542338790,0.75559443,0.33095503,10.282968
403989552265702,0.6945149,0.3871018,10.289315
403989562192742,0.6176478,0.31767994,10.236637
403989572119782,0.55172974,0.16019277,10.113008
403989582046694,0.43259072,0.1570681,10.004893
403989591973734,0.30931896,0.21975438,9.97841
403989601900774,0.18319722,0.2299909,9.891569
403989611794599,0.1725551,0.41614905,9.754156
403989621721127,0.1436951,0.4648481,9.704242
403989631647527,0.28615913,0.23055987,9.476283
403989641574055,0.3860803,0.001100096,9.277605
403989651500583,-0.07164121,0.490455,9.751643
403989661426983,-0.22107989,0.8669724,10.051416
403989671353511,0.17728893,1.2314748,10.217155
403989681280039,0.7073308,1.4726666,10.716731
403989691206439,1.0875345,1.271104,11.015708
403989701132967,1.7533722,0.9233369,10.474287
403989711066107,1.7445153,0.02556662,11.407951
403989720992635,1.4389025,0.32775888,10.73576
403989730919291,1.0499473,0.14898074,10.0562525
403989740845819,-0.070948996,0.058599055,9.623247
403989750772475,-0.5863081,-0.3815361,8.484798
403989760699003,-0.86765873,-0.3476539,8.168929
403989770625531,-0.593396,-0.1627485,8.357589
403989780552187,-0.4438931,0.007944647,8.529513
403989790478715,0.0554831,0.14663981,8.908609
403989800405243,0.25957683,0.44310296,9.213925
403989810333707,1.5872053,1.7800125,9.612805
403989820260363,2.820424,3.6631272,9.837326
403989830187019,2.002937,0.90442204,10.776106
403989840113675,1.2469089,-0.8475443,11.014136
403989850040203,1.3574332,-0.64400744,10.714115
403989859966859,1.2505697,-0.8259418,10.423698
403989869893515,0.87174374,-1.1419729,10.309376
403989879820043,0.3599962,-1.1572958,10.305515
403989889746699,0.061606117,-0.5865061,10.209578
403989899673355,-0.039717276,-0.043249976,10.090654
403989909602319,0.054716326,0.5647364,9.787206
403989919528975,0.27490005,1.0007409,9.473676
403989929455503,0.19390842,1.0785903,9.269443
403989939382159,-0.16357915,1.1601069,9.011012
403989949308815,-0.38627213,0.6540893,8.862896
403989959235343,-0.42582625,0.054791734,9.159568
403989969161999,-0.20827718,-0.45469844,9.655311
403989979088655,0.008831193,-1.5096856,10.263185
403989989015183,0.40735814,-1.7231022,10.54374
403989998941839,1.1416371,-0.36166975,10.323926
403990008887083,1.3119401,0.214899,10.175677
403990018813995,0.83578545,0.09343982,9.885566
403990028740779,0.29311448,-0.21077947,9.596073
403990038667691,0.02993426,-0.14093736,9.597974
403990048594475,0.26892877,0.38149145,10.003953
403990058521387,0.14074853,0.013332129,10.024166
403990068448171,-2.2169153E-4,-0.75046885,9.791041
403990078375083,0.5147966,-0.27171934,9.931214
403990088301867,0.6057974,-0.282909,9.956694
403990098228779,0.102589704,-0.3649919,9.6280775
403990108162052,-0.05956576,-0.5871207,9.156983
403990118089092,0.08643231,-0.8251338,9.056822
403990128016004,0.29841647,-0.65192235,9.188216
403990137942916,0.34813282,-0.43263286,9.477675
403990147869956,0.60653204,-0.07045694,9.810779
403990157796868,0.6891753,-0.25121036,9.870726
403990167723780,0.77288574,-0.6452288,9.8493
403990177650820,0.8597728,-0.679397,9.649918
403990187577732,0.3005167,-0.3565907,9.4249525
403990197504644,0.036438,-0.12632075,9.476794
403990207435680,0.0066043134,0.002680222,9.548432
403990217362720,-0.23803456,0.2553193,9.514791
403990227289760,-0.32358646,0.22937752,9.538242
403990237216800,-0.0868924,-0.06112559,9.6560545
403990247143840,0.43783143,-0.669508,9.833849
403990257070880,0.7056177,-0.98061764,9.806437
403990266997920,1.8544316,-0.33128014,11.035938
403990276924960,1.4183595,0.14646223,10.817594
403990286851872,0.52723235,0.4148387,10.051889
403990296778912,0.44948485,0.5100077,9.888462
403990306705913,1.1163939,0.023633055,10.311778
403990316632953,1.4946524,-0.5058574,10.655053
403990326560121,1.0760906,-0.47053236,10.551294
403990336487161,0.8145401,0.064604945,10.464716
403990346414201,0.39510244,0.2859307,10.034428
403990356341369,-0.16711888,0.19754393,9.646927
403990366268409,-0.23270543,0.43800172,9.498767
403990376195449,-0.5184529,0.59282327,9.7107315
403990386122617,-0.63251036,0.45124748,9.64667
403990396049657,-0.6535087,0.2497831,9.379186
403990405983230,-0.5710173,0.051363382,9.20831
403990415910398,-0.7556647,0.16753663,9.205574
403990425837694,0.116581164,2.621818,9.316269
403990435764862,-0.44901422,0.2157367,9.901803
403990445692158,-0.59788907,0.12799114,7.7921524
403990455619326,-0.33784404,2.794439,5.5678067
403990465546622,-1.1460947,0.5518469,7.446402
403990475473790,-1.1570551,0.2048754,8.059882
403990485400958,-1.3455725,-0.20474455,8.299643
403990495328254,-0.7362125,0.15654705,8.073706
403990505235903,-0.039358955,1.5638529,8.037035
403990515162815,0.07653648,1.1499664,9.028097
403990525089599,0.37063023,-0.2324776,9.956078
403990535016511,0.9285632,-2.183607,10.164867
403990544943423,1.1165429,-4.3190017,11.00267
403990554870335,1.0872295,-3.4227417,10.910352
403990564797119,1.2178891,-3.8790162,11.471978
403990574724031,1.799128,-3.3880467,10.66665
403990584650943,1.6045276,-2.102316,9.904456
403990594577727,1.4883319,-1.622705,9.935661
403990604506563,0.9175191,-1.036269,10.185751
403990614433475,0.5240893,0.028150026,10.75089
403990624360387,0.4957545,1.9012548,11.514107
403990634287299,0.72042376,3.9789045,11.797831
403990644214211,0.652154,5.0884385,11.707558
403990654141123,0.34554365,5.7194085,11.360606
403990664068035,-0.09594135,4.609066,10.64838
403990673994947,-0.575331,2.7545452,9.644983
403990683921859,-0.8325404,1.2729632,8.641012
403990693848771,-0.89810246,0.49376658,7.9251003
403990703777369,-0.8498088,0.07011097,7.6332426
403990713704281,-0.5397752,0.0075251316,7.5230713
403990723631193,-0.09216711,-0.023320911,6.9511304
403990733558105,-0.3292544,0.4427737,5.214158
403990743485017,0.2764521,-1.8498018,5.2150335
403990753411929,-0.1608517,-2.4320333,5.6745543
403990763338841,0.73872703,-1.10365,6.621955
403990773265753,2.9358616,-0.18867372,6.8807893
403990783192665,4.9960456,-0.39081964,4.620648
403990793119577,4.5860868,-0.7724914,4.3094926
403990803047018,2.9535909,1.158772,6.0449944
403990812973930,2.3680272,2.558435,6.842729
403990822900842,1.8034136,2.153624,6.373035
403990832827754,1.1987437,0.983654,5.020618
403990842754666,0.55728173,1.0853444,2.8781278
403990852681706,-0.25534812,1.9687314,1.0690635
403990862608618,-0.72819585,2.910544,0.054469354
403990872535530,-0.6920114,3.4117284,-0.24207057
403990882462442,-0.66313547,3.542888,-0.18262947
403990892389354,0.08567008,3.2926438,0.108673416
403990902306249,0.989139,2.690803,0.29811922
403990912233033,1.4800686,2.5718644,1.4192995
403990922159817,2.1079237,3.1267276,2.7247858
403990932086729,4.2828016,2.460697,6.22246
403990942013513,7.7149153,-1.0238446,12.517161
403990951940297,6.9866447,2.524499,13.302549
403990961867081,9.573279,4.205884,14.719904
403990971793993,7.9901657,3.1607556,17.6134
403990981720777,5.818168,3.1414797,18.790232
403990991647561,3.6516778,1.362564,20.090782
403991001571314,2.5532513,1.2872443,20.22283
403991011498098,0.29695103,0.6791234,19.43127
403991021425010,0.4505254,-0.6430302,19.266905
403991031351794,0.13204925,-2.2212856,20.658556
403991041278578,0.80852437,-4.153508,22.211334
403991051205362,0.16561064,-4.527117,23.066938
403991061132146,0.23224904,-4.7338457,22.571888
403991071058930,-0.54270047,-4.073954,21.451252
403991080985714,-0.8106068,-4.409662,18.771395
403991090912498,-1.5774634,-4.2546515,15.30785
403991100832522,-1.8585913,-5.3342247,12.623893
403991110759306,-1.8775057,-5.6757007,11.450105
403991120686218,-1.7202891,-6.110703,11.76785
403991130613002,-1.0475969,-4.78201,12.742787
403991140539786,0.6652813,-4.9143553,12.694339
403991150466570,1.867442,-3.4400043,12.721978
403991160403846,2.2228613,-2.9241261,11.874331
403991170330630,1.875333,-2.199059,11.16073
403991180257414,1.1699405,-3.2544115,9.9873085
403991190184198,1.2414877,-3.318061,9.26362
403991200105793,1.6483427,-3.6542475,8.887895
403991210032449,1.734108,-2.4873464,8.697229
403991219959105,1.8084401,-1.4298837,8.692721
403991229885761,2.0962806,-0.829611,8.591862
403991239812417,1.8224645,-0.8279237,7.295205
403991249739201,1.5077493,-0.119883455,5.975676
403991259665857,0.79495054,0.42200226,5.3996916
403991269592513,0.59332633,0.2469516,4.286758
403991279519169,0.735166,1.1362684,4.0846534
403991289445825,0.64768726,1.4635682,3.363969
403991299363338,0.74135846,3.4615893,1.2052954
403991309289866,2.7102215,3.4996552,2.1690972
403991319216522,1.4891396,2.0831072,3.9619365
403991329143050,0.67872775,1.3746799,5.977498
403991339069578,1.2610095,0.7073812,7.9706535
403991348996234,2.3525288,0.6396456,8.502081
403991358922762,2.9522405,0.14345746,8.902876
403991368849290,3.4037251,-0.13169329,9.428376
403991378775946,3.0365098,0.3712422,9.626827
403991388702474,1.5044237,1.1434976,10.418161
403991398625728,0.8031327,1.5857025,10.240475
403991408552256,1.1963489,2.5883906,8.846796
403991418478784,1.5011874,2.8806384,7.6462836
403991428405312,1.9322029,2.9570386,7.498002
403991438331712,1.0958688,3.0010374,8.254557
403991448258240,-0.1341086,3.1165497,9.498907
403991458184768,-2.65389,2.863164,10.74837
403991468111168,-3.7053957,1.5186038,11.531162
403991478037696,-1.3976467,-1.4200888,10.891271
403991487964224,0.16562502,-2.2753222,7.270903
403991497895608,-1.9251333,-0.44914585,3.1425974
403991507822136,-1.5371444,-1.1456813,4.072801
403991517748664,4.705942,-3.968421,10.268187
403991527675192,6.88608,-1.9540836,14.898309
403991537601720,6.186982,-0.3697795,13.222337
403991547528120,3.3663707,-0.94303924,11.129705
403991557454648,2.5458064,-3.176082,10.696115
403991567381176,2.141689,-2.7368217,12.558743
403991577307704,3.6232846,-2.2240388,14.260173
403991587234232,3.2430806,-1.8885384,15.2439375
403991597163891,4.1161294,-1.3505245,16.251652
403991607090419,5.7595744,0.6202368,16.660013
403991617016947,2.6673157,-0.31843892,13.693768
403991626943603,-0.8263741,-2.069512,10.965421
403991636870131,-3.1167967,-2.8665404,9.420939
403991646796659,-4.002432,-1.9937947,7.507406
403991656723315,-5.6432,-0.31068152,5.085528
403991666649843,-5.7211766,1.2584528,5.588167
403991676576371,-5.1404014,1.9675198,6.6783924
403991686503027,-3.091547,1.8828671,8.7266
403991696430590,-0.94451797,2.137227,10.155568
403991706357246,-0.4584455,1.057158,10.201886
403991716283774,0.121534154,0.15235315,10.408804
403991726210302,1.8918847,-0.7331896,9.871391
403991736136958,2.8656452,-0.9308191,8.96173
403991746063486,2.219049,-0.5094533,9.27321
403991755990014,0.95797586,-0.33972806,11.314711
403991765916670,-1.708735,1.1315507,13.744948
403991775843198,-3.3084548,1.8882741,16.327456
403991785769726,-3.0731964,2.72496,15.759033
403991795691911,-1.7040411,1.8623321,12.473019
403991805618439,-0.49660748,1.2128694,9.275499
403991815544967,3.0716574,2.9154758,8.53136
403991825471495,4.9765296,3.1580193,10.041008
403991835398023,1.8673837,0.096585445,10.540575
403991845324551,1.2183645,0.26109296,9.580412
403991855251079,3.4732585,1.3104099,9.45863
403991865177607,4.6450276,2.1908374,9.934256
403991875104135,5.20964,1.7236347,10.620671
403991885030663,4.939032,0.8558977,11.368348
403991894955347,4.4704175,-0.6757326,11.189274
403991904881875,3.9868631,-0.93395966,10.482679
403991914808403,3.578188,-1.3214437,9.395542
403991924734803,3.2567062,-1.461881,8.00841
403991934661331,2.747727,-1.5771512,6.8682985
403991944587859,1.9730908,-1.7104551,7.5664973
403991954514259,0.09729957,-2.7319462,9.047564
403991964440787,-0.32129446,-3.5477269,9.321958
403991974367315,-0.71421593,-4.5448403,10.396463
403991984293715,-0.38159448,-5.2238283,11.95835
403991994225001,-0.19123346,-5.4441357,13.176906
403992004151529,0.23239346,-4.524231,12.827202
403992014078057,0.070061676,-3.743133,12.388879
403992024004585,-1.1320207,-4.8010235,10.324747
403992033931113,-5.0794578,-5.265909,6.7900624
403992043857641,-5.6053057,-3.883528,4.613387
403992053784169,-0.9088998,-1.8663685,5.841765
403992063710697,1.904127,-2.0328717,6.7923937
403992073637225,1.8122941,-2.98196,6.651788
403992083563753,-1.5302819,-5.596553,8.837788
403992093491377,-1.813147,-5.5272994,11.297001
403992103417905,-3.0622947,-2.9152005,11.39697
403992113344561,-4.601451,-0.7300183,11.131676
403992123271089,-4.874684,0.11568565,11.022866
403992133197617,-5.0183654,0.8765414,11.31078
403992143124145,-6.330401,0.95983815,12.893179
403992153050673,-4.726091,1.5536261,14.745266
403992162977201,-3.070139,1.9009194,14.570083
403992172903857,0.443002,2.3105423,14.380247
403992182830385,4.880924,2.3713682,13.814034
403992192765548,3.0754588,0.8880799,12.689141
403992202692204,2.174961,-0.9186877,10.134237
403992212618860,-0.2520129,0.62923187,6.634479
403992222545516,-1.5308653,1.8038924,5.7385993
403992232472172,-1.683268,2.3946202,6.3270903
403992242398828,-2.6680589,3.4688284,9.423313
403992252325484,-5.7643156,3.7164137,8.940988
403992262252140,-7.9597216,2.8744977,4.536015
403992272178668,31.266708,6.7223983,-8.770962
403992282105324,47.31187,4.355038,-6.9406357
403992292035556,-24.71423,-3.667352,8.504456
403992301962212,-19.390398,2.288473,4.508533
403992311888868,9.415922,6.5104914,6.6293154
403992321815652,0.3468518,4.3844695,7.2327805
403992331742308,-11.034861,1.876441,6.575595
403992341669092,1.8744657,1.9089928,9.25881
403992351595748,2.7259557,3.0125072,9.251274
403992361522532,-1.6103222,3.2177498,7.649687
403992371449188,1.0880615,3.158302,8.832641
403992381375844,0.40531784,2.5816677,9.494182
403992391309690,-0.5667418,2.3924918,9.452937
403992401236474,-0.052491505,2.9848309,10.721862
403992411163258,0.44477648,2.798318,12.780191
403992421090042,-0.24128947,3.1857488,15.785139
403992431016826,-0.3483078,3.0784578,18.613258
403992440943738,-0.91199523,3.2536972,20.01153
403992450870522,-0.15790121,0.43470362,18.012789
403992460797306,-0.7497849,-0.80084515,14.947044
403992470724090,0.8110375,-2.8804522,13.858158
403992480651002,2.9171464,-3.6456032,13.65298
403992490586324,2.103723,-4.6830816,13.820928
403992500513236,-1.7942859,-4.123494,13.735986
403992510440148,-3.179927,-3.2764282,13.493427
403992520367060,-2.0548177,-1.2888672,13.538963
403992530293972,-0.7337854,-0.83855397,14.034254
403992540220884,0.80947614,-2.41057,15.851148
403992550147668,0.6293761,-4.310254,16.553095
403992560074580,0.50495726,-4.193059,16.303728
403992570001492,1.1379008,-3.8984928,15.028166
403992579928404,0.34566036,-3.8070114,13.019942
403992589858282,0.16109647,-1.7858229,11.550476
403992599785194,-1.2934163,-1.5309294,11.015768
403992609712234,-2.5337753,-1.7385378,11.446033
403992619639146,-0.1772017,-2.07845,11.983528
403992629566058,4.608634,-4.658205,11.255782
403992639492970,1.3366003,-4.039249,9.965259
403992649419882,-3.5931454,-0.21544884,8.332475
403992659346922,-0.66469073,-0.8448214,8.085326
403992669273834,-1.0340333,-2.0536454,6.934545
403992679200746,-0.8478052,-2.1927798,6.933843
403992689128515,-0.7224574,-1.5358187,6.689277
403992699055427,-0.25618756,-1.9193698,6.4015064
403992708982339,0.15061496,-0.9851894,5.8637795
403992718909251,1.3679507,-0.5437544,4.1661468
403992728836163,0.8206735,-0.8387255,1.7110019
403992738763075,0.45124483,-3.035094,-0.39720118
403992748689987,-0.16225411,-0.5927454,1.9488746
403992758616899,-0.7219417,3.2048793,3.503005
403992768543939,-2.233384,1.5484018,4.1462717
403992778470851,-2.711344,-0.27830675,4.572293
403992788397157,-0.33310342,-4.7241547E-4,4.775877
403992798324069,0.8979049,-1.0053272,6.163511
403992808250981,1.2308402,-2.3196108,6.870694
403992818177893,1.4119263,-3.5742846,6.587973
403992828104933,1.309524,-5.0120845,6.0197105
403992838031845,0.9894883,-6.234224,5.675188
403992847958757,0.919316,-7.1349583,6.363949
403992857885797,1.2781138,-7.018981,6.99637
403992867812709,4.2449226,-4.5966234,7.146643
403992877739621,4.834876,-1.2768395,8.092165
403992887666281,1.6378645,9.939319,8.524557
403992897593193,-7.506835,8.024256,12.432963
403992907520105,-8.722688,4.421097,15.528263
403992917447017,-3.3338451,7.3433,12.285972
403992927374057,2.2391582,10.048892,9.880271
403992937300969,2.5655808,3.671713,13.458478
403992947227881,-0.61792666,-0.47744793,18.006744
403992957154793,-2.3334775,-1.2296399,17.5753
403992967081705,-0.92750704,1.7674377,15.153563
403992977008617,0.08671843,0.3808278,15.0206785
403992986930998,4.2964263,-1.5127054,16.567371
403992996857910,7.3791957,-2.1664052,16.49499
403993006784822,6.535278,-1.9359124,13.538836
403993016711734,3.6194963,-0.13139376,11.248523
403993026638646,1.1863173,0.4214895,10.3917465
403993036565430,-1.2590665,2.5068376,9.0105095
403993046492342,-0.21631953,3.6817162,6.3708067
403993056419254,-2.1927917,2.834939,2.6764424
403993066346166,-5.3608317,2.7082303,2.7176642
403993076273078,-3.338157,2.9914432,3.8238435
403993086198069,3.3726876,3.2563262,5.360045
403993096124981,7.232049,3.3379624,5.775652
403993106051893,4.1924624,2.7749166,7.4363704
403993115978805,-3.1900601,0.2084095,7.4936323
403993125905717,-5.962204,-1.457268,8.037445
403993135832629,-5.992645,-4.517706,9.8407
403993145759541,-4.807407,-6.007422,9.766588
403993155686453,1.0747914,-4.681693,11.018971
403993165621272,5.3852453,-2.0925932,12.650338
403993175548184,3.9142456,-1.2093824,9.967296
403993185469771,0.7365875,0.9437294,8.700511
403993195396683,2.8515983,2.6951308,8.555414
403993205323595,-0.6809083,-2.7543032,9.809183
