UPTIMENANO, Latitude, Longitude, speed, accuracy
404019826809649,35.54610249,139.44675732,14.03,54.0
404020829438343,35.5464612,139.44692433,15.72,37.0
404021865502565,35.54654948,139.44700936,15.27,29.0
404022868908203,35.54665764,139.44717729,15.75,27.0
404024831295755,35.54689983,139.44746179,16.65,26.0
404025838586414,35.54714431,139.44774281,19.7,21.0
404026890566998,35.54728082,139.44788228,18.85,22.0
404028875546039,35.54755611,139.44822683,19.58,29.0
404029807589205,35.54773017,139.44852685,21.55,27.0
404030728309557,35.54780187,139.44872257,21.33,27.0
404031729505594,35.54791944,139.4488951,21.25,27.0
404032730738090,35.54809077,139.44911846,22.05,28.0
404033831236742,35.54815529,139.44927278,21.17,28.0
404034742070270,35.54824922,139.44948274,21.17,27.0
404035858750783,35.54842236,139.44977906,22.71,25.0
404037844553120,35.54869766,139.4501287,22.32,20.0
404038866884217,35.54886244,139.4503418,22.9,20.0
404040825856912,35.54920587,139.45081011,23.68,16.0
404041848004952,35.54934402,139.4509902,23.4,16.0
404042896162493,35.54928302,139.45102335,20.15,16.0
404044871798984,35.54954158,139.45144864,20.74,14.0
404046834467187,35.5497941,139.4519701,22.27,15.0
404047876888535,35.54986309,139.45215719,21.55,17.0
404048858732025,35.54991295,139.45234915,21.05,17.0
404049844155728,35.54996991,139.45264282,21.73,14.0
404050846493484,35.55008545,139.45292295,23.0,11.0
404051835665978,35.55014381,139.45315388,22.26,10.0
404053839146125,35.55024416,139.45363515,21.47,10.0
404054851328208,35.55027522,139.45382351,21.34,11.0
404055835981109,35.55034383,139.45406865,21.82,10.0
404056833402527,35.55037327,139.45427538,21.28,10.0
404057834750947,35.55041014,139.45448041,20.94,11.0
404058826644327,35.55044593,139.45467504,20.33,11.0
404059728937021,35.5504896,139.45489147,20.06,11.0
404060727959516,35.55047989,139.45528168,22.86,12.0
404061835740312,35.55047933,139.45556102,23.4,14.0
404062890047247,35.55052831,139.45581739,23.66,15.0
404064821475096,35.55065974,139.45638336,25.03,16.0
404065816238003,35.55070256,139.45664949,24.68,17.0
404066869891293,35.55072215,139.45689616,24.08,18.0
404068726651530,35.55084054,139.45736589,24.12,19.0
404069730202099,35.55093945,139.45758802,25.37,19.0
404070723867406,35.55102823,139.45783079,25.17,16.0
404071847885698,35.55108511,139.45809218,25.05,11.0
404073855682918,35.55131228,139.45866805,25.73,12.0
404074833911105,35.55145232,139.45890487,25.76,12.0
404076774203902,35.55176793,139.45918135,23.83,12.0
404077820590309,35.55191388,139.45934566,23.61,12.0
404078867912956,35.55207999,139.45953135,23.18,12.0
404079870804208,35.55225338,139.45969287,23.59,11.0
404080836328384,35.55242861,139.45985844,22.8,11.0
404081837224824,35.55260158,139.45999749,22.89,11.0
404083731207721,35.55298009,139.46025683,23.28,11.0
404084847441221,35.55319979,139.46038056,23.97,11.0
404085835413676,35.55338386,139.46051346,23.94,12.0
404087856588812,35.5537553,139.46077052,23.31,12.0
404088878116530,35.55392258,139.46085935,22.66,12.0
404089790829015,35.55410147,139.4609792,22.43,12.0
404090862369539,35.55427893,139.46107903,21.99,12.0
404091870885221,35.55445637,139.46116001,21.64,12.0
404092830549848,35.55464028,139.46125439,21.39,12.0
404093841821203,35.55480265,139.46132105,21.3,12.0
404094829936365,35.55499395,139.46138716,21.68,12.0
404095849370425,35.55518351,139.46142742,21.43,11.0
404097818768389,35.55553705,139.46143773,21.48,11.0
404098729990095,35.55572856,139.46146228,21.51,11.0
404099735047226,35.55598143,139.46152402,22.45,11.0
404100727721700,35.55618028,139.46154793,21.72,10.0
404101729052685,35.55640294,139.46151748,21.83,10.0
404102821501382,35.55659657,139.46150491,21.85,10.0
404103839896179,35.55678792,139.46151668,22.19,10.0
404104746186009,35.55701732,139.46151138,22.87,10.0
404105729166472,35.55724184,139.46150666,22.89,10.0
404106728969905,35.5574377,139.46151178,23.12,10.0
404107733308963,35.55766045,139.4615132,23.23,10.0
404108734517084,35.55787322,139.4615226,23.6,10.0
404109734587548,35.55809931,139.46152793,24.21,10.0
404110733264158,35.55833823,139.4615168,24.41,11.0
404111872823274,35.55853409,139.46152945,24.15,11.0
404112858740510,35.55878318,139.46153712,24.93,11.0
404114730086947,35.55920804,139.4615852,23.6,11.0
404115734223245,35.55940603,139.4616174,23.44,12.0
404116728948083,35.55960088,139.46164803,22.87,12.0
404117731085371,35.55979783,139.46168013,23.03,12.0
404118731227658,35.55999988,139.46174938,22.1,12.0
404119853215524,35.56020227,139.4617937,21.57,12.0
404121832227602,35.5605825,139.46187847,20.59,11.0
404122837966618,35.56076976,139.46192263,21.02,11.0
404123743913041,35.56092866,139.46194588,19.15,11.0
404124796899084,35.56109065,139.46199798,19.48,11.0
404125870215281,35.56125681,139.46203905,19.4,11.0
404127826803808,35.56155281,139.46217929,18.07,11.0
404128890555057,35.56170553,139.4622451,18.34,11.0
404129857375684,35.56183527,139.46230152,15.98,12.0
404131726738787,35.56210594,139.4624324,16.47,12.0
404132862195567,35.56222958,139.46247868,15.46,13.0
404133839967135,35.56234083,139.46252596,14.67,13.0
404135825816198,35.5625623,139.46267524,14.38,14.0
404137725516179,35.56273431,139.46279458,12.94,16.0
404138855351194,35.56284765,139.46288091,12.47,15.0
404139824307878,35.56280843,139.46286576,8.24,14.0
404140839849698,35.56285236,139.46287739,7.59,14.0
404141843949347,35.56291407,139.46291324,7.58,14.0
404143822617675,35.56295545,139.46295019,5.56,16.0
404144822207058,35.56294016,139.46294626,3.62,15.0
404145832473561,35.56296888,139.46296657,3.67,15.0
404146828674579,35.56302792,139.46300488,3.64,14.0
404147832537289,35.56302572,139.46299903,3.1,14.0
404148829410785,35.56306479,139.46301731,3.28,15.0
404149865734170,35.56308454,139.46303235,3.42,15.0
404150823158599,35.56311122,139.46305212,3.31,16.0
404151855849517,35.5631205,139.46306184,2.41,15.0
404152867186582,35.56313807,139.46307828,2.46,16.0
404153827191636,35.56314779,139.46308474,1.59,14.0
404154847453458,35.56312074,139.46307597,0.9,13.0
404155836390481,35.56310314,139.46307387,0.26,13.0
404156852226268,35.56310472,139.46307677,0.32,13.0
404158818877709,35.56315846,139.4631358,0.55,13.0
404159830262145,35.56319,139.46316414,0.54,14.0
404160850871365,35.56318461,139.46316396,0.23,14.0
404161827443613,35.56316984,139.46315557,0.29,14.0
404162844108766,35.56318099,139.46314931,0.0,14.0
404163869842555,35.56317747,139.46314148,0.19,14.0
404164838261977,35.56317266,139.46314596,0.35,13.0
404165739614515,35.56316064,139.46316584,0.46,13.0
404166728880759,35.56316631,139.46316557,0.47,12.0
404167846558625,35.5631645,139.46316708,0.35,13.0
404168827586397,35.56315223,139.46316261,0.0,12.0
404169841777540,35.56313719,139.46315651,0.0,12.0
404170826447922,35.5631411,139.46316547,0.0,11.0
404171839575575,35.56314303,139.46317748,0.0,11.0
404173818914392,35.56314312,139.46319268,0.0,11.0
404174728433336,35.56314437,139.46319091,0.0,11.0
404175728182914,35.563141,139.46318839,0.0,11.0
404176824279443,35.56314042,139.46318797,0.0,11.0
404177878026422,35.56313921,139.46318769,0.0,11.0
404178867902050,35.56313885,139.46318694,0.0,12.0
404179875434034,35.56313919,139.46318304,0.0,13.0
404181729700052,35.56314004,139.46318286,0.0,13.0
404182828248025,35.56313897,139.4631844,0.0,14.0
404183882714593,35.56313873,139.46318527,0.0,14.0
404185820914947,35.56313824,139.463185,0.0,14.0
404186726655140,35.56313843,139.46318454,0.0,16.0
404187881286873,35.5631384,139.46318451,0.0,17.0
404188838054490,35.56313838,139.46318448,0.0,20.0
404190838786718,35.56313847,139.46318462,0.0,30.0
404191812704274,35.56313849,139.46318465,0.0,38.0
404192876136310,35.5631385,139.46318467,0.0,48.0
404193835385071,35.56313854,139.46318483,0.0,58.0
404195849842159,35.56314064,139.46319106,0.0,52.0
404196828090320,35.56314271,139.46319707,0.0,48.0
404197824235796,35.56314378,139.46319985,0.0,40.0
404198826311458,35.56314531,139.46320413,0.0,37.0
404199871877859,35.56315247,139.46321758,0.0,33.0
404201816720164,35.56370776,139.46355557,12.36,28.0
404202737863484,35.56394544,139.46373106,12.81,25.0
404203866187552,35.56411656,139.46382261,13.96,22.0
404204858888279,35.56428681,139.4639259,14.34,19.0
404205868040273,35.5644875,139.46402469,14.64,20.0
404207826517171,35.56490908,139.46435878,16.35,19.0
404208863773997,35.56509704,139.46449854,16.51,17.0
404209857180776,35.56523553,139.46460961,16.06,17.0
404210847012973,35.56536647,139.4647482,16.24,19.0
404211866131139,35.56551391,139.46489088,16.4,19.0
404213861387280,35.56579905,139.46523555,17.09,20.0
404215824079235,35.56603793,139.46557881,17.71,20.0
404216829254295,35.56613975,139.46575312,18.03,23.0
404217819219568,35.56624156,139.46590936,18.17,25.0
404218834010985,35.56635015,139.46605875,18.21,28.0
404219825849625,35.56644551,139.46618542,17.85,30.0
404220832572955,35.56662149,139.46640505,19.28,31.0
404221821728185,35.56680551,139.46663639,20.28,26.0
404222840640370,35.56692013,139.46678252,20.42,24.0
404223850498819,35.56716778,139.46705598,22.34,21.0
404224856836836,35.56736682,139.46715837,23.46,18.0
404225845807260,35.56751688,139.46727632,22.94,18.0
404226820194557,35.56768769,139.4674128,22.05,16.0
404227865922109,35.56788213,139.46756304,22.58,15.0
404228837051842,35.56806589,139.46767227,22.62,16.0
404229825521381,35.56824982,139.46780619,22.74,15.0
404230728944179,35.56843146,139.46792959,22.69,14.0
404231854310961,35.56860106,139.46802277,22.68,15.0
404232867874404,35.56878449,139.46813168,22.66,17.0
404233769837775,35.56896311,139.4682513,22.63,21.0
404254728091045,35.57308473,139.47098519,24.24,41.0
404255726093280,35.57317184,139.47103206,24.11,33.0
404256733274422,35.57326556,139.47110627,24.37,26.0
404257725368270,35.57348391,139.47129201,24.73,22.0
404258758298998,35.57365338,139.47145424,24.54,19.0
404259739511388,35.57384536,139.47161092,25.03,17.0
404260831906767,35.57401086,139.47175216,25.12,16.0
404261844623010,35.57418925,139.47191157,25.5,17.0
404262826784093,35.57437393,139.47207914,25.45,17.0
404263728056579,35.57456227,139.47223109,25.7,18.0
404264863642461,35.57473839,139.47236017,25.68,18.0
404265874773295,35.57495254,139.47252101,25.93,17.0
404266827662946,35.57514171,139.47264619,25.51,16.0
404267734727254,35.57532954,139.47274941,25.55,15.0
404268791614912,35.5755259,139.47288774,25.56,16.0
404269841333988,35.57570282,139.47299535,24.76,16.0
404270837006112,35.57591216,139.47314452,25.15,16.0
404271870022575,35.57606979,139.4732442,24.24,16.0
404272849215917,35.57626974,139.47335727,24.16,16.0
404273858572371,35.57644146,139.47346205,23.66,16.0
404274864079195,35.5766664,139.47362628,24.48,16.0
404275825430286,35.57693281,139.47381181,25.89,13.0
404276725647302,35.5771472,139.47395698,26.0,12.0
