UPTIMENANO,Ax,Ay,Az
403989370933429,0.5074293,-0.050260574,0.049712636
403989390933429,0.5228268,0.02815165,0.11692866
403989410933429,0.4146907,0.04964263,-0.05215097
403989430933429,0.26768208,-0.013020452,-0.14002156
403989450933429,0.3729072,0.043958616,-0.0035049445
403989470933429,0.40832266,0.060250707,-0.0644365
403989490933429,0.28837457,0.25284487,0.052001763
403989510933429,0.580231,0.15765923,0.24911688
403989530933429,0.7410373,0.1739897,0.445562
403989550933429,0.731836,0.3319027,0.48140085
403989570933429,0.6126426,0.12857011,0.31886747
403989590933429,0.3850828,0.17361484,0.17297068
403989610933429,0.23085639,0.3719358,-0.04068853
403989630933429,0.32528472,0.22274898,-0.31484002
403989650933429,-7.231321E-4,0.4258509,-0.0804983
403989670933429,0.21414672,1.1394848,0.41135356
403989690933429,1.1685382,1.1682739,1.2036273
403989710933429,1.8947681,-0.066269234,1.5648067
403989730933429,1.3094807,0.017064983,0.21941546
403989750933429,-0.26629153,-0.48654833,-1.3159766
403989770933429,-0.29260087,-0.33671737,-1.4334259
403989790933429,0.25972924,-0.0136724105,-0.8861715
403989810933429,1.5781062,1.6317317,-0.11842354
403989830933429,1.9495428,0.7302353,0.98968565
403989850933429,1.369496,-0.53502905,0.8855872
403989870933429,0.8761271,-1.0680621,0.5056554
403989890933429,0.15912239,-0.50993985,0.38817692
403989910933429,0.20413814,0.60756326,-0.062272612
403989930933429,0.23790278,1.089445,-0.5775271
403989950933429,-0.3315467,0.5939216,-0.8951595
403989970933429,-0.16408429,-0.5481344,-0.036987394
403989990933429,0.52868026,-1.3592054,0.7091903
403990010933429,1.2211798,0.245288,0.30713966
403990030933429,0.2847188,-0.15560672,-0.21077783
403990050933429,0.29358363,0.28202498,0.2009737
403990070933429,0.19408205,-0.7463104,0.010299682
403990090933429,0.56736606,-0.48345613,0.050780155
403990110933429,0.06381899,-0.7599748,-0.6860755
403990130933429,0.33680007,-0.64014083,-0.5376846
403990150933429,0.60294044,-0.15809983,0.023994787
403990170933429,0.76132536,-0.64662415,-0.018007334
403990190933429,0.20008658,-0.28277662,-0.36405107
403990210933429,-0.065866604,0.048316345,-0.26964787
403990230933429,-0.22116308,0.05988991,-0.22419432
403990250933429,0.5313388,-0.8083065,0.0155788595
403990270933429,1.6571207,-0.12685965,1.1466357
403990290933429,0.50501484,0.51410764,0.17463996
403990310933429,1.3060333,-0.10902543,0.64916915
403990330933429,1.028127,-0.13627605,0.7018758
403990350933429,0.2807391,0.26325867,0.04790269
403990370933429,-0.19497715,0.51600575,-0.20352209
403990390933429,-0.47322947,0.3707694,-0.28033176
403990410933429,-0.5013378,0.12573047,-0.5896912
403990430933429,0.02234102,1.2151811,-0.16509794
403990450933429,-0.29334325,1.4859775,-3.1680222
403990470933429,-1.0372452,0.43163413,-2.014691
403990490933429,-1.0486691,0.16652301,-1.6399868
403990510933429,-0.10295202,1.5192977,-1.2333391
403990530933429,0.40339273,-1.1266837,0.32004514
403990550933429,0.5753936,-3.5658047,1.2510254
403990570933429,1.1172639,-3.3975496,1.279942
