UPTIMENANO,Mx,My,Mz
403989363632210,78.78593,-42.684975,-8.367811
403989383485650,78.635925,-42.684975,-8.517813
403989403339090,78.48593,-42.684975,-8.817812
403989423199141,78.33592,-42.534977,-8.817812
403989443052709,76.68593,-42.534977,-8.817812
403989462906277,77.28593,-42.534977,-8.9678135
403989482759717,77.28593,-42.534977,-8.9678135
403989502613285,77.28593,-42.38498,-9.41781
403989522484710,76.83592,-42.38498,-10.317812
403989542338790,76.83592,-42.38498,-10.317812
403989562192742,76.83592,-42.38498,-10.317812
403989582046694,76.83592,-42.38498,-10.317812
403989601900774,76.98593,-42.38498,-10.767813
403989621721127,77.28593,-42.534977,-11.067812
403989641574055,77.43593,-42.534977,-11.2178135
403989661426983,78.48593,-42.684975,-11.817812
403989681280039,80.58592,-42.534977,-12.41781
403989701132967,84.18593,-42.534977,-14.2178135
403989720992635,86.73593,-42.38498,-14.9678135
403989740845819,86.285934,-42.234978,-16.91781
403989760699003,86.285934,-41.484978,-20.817812
403989780552187,86.135925,-39.984978,-22.617811
403989800405243,85.98593,-37.734978,-23.367811
403989820260363,85.385925,-36.084976,-23.967813
403989840113675,84.48593,-32.934975,-25.167814
403989859966859,81.93593,-32.634975,-23.66781
403989879820043,79.68593,-31.584976,-23.067812
403989899673355,78.03593,-31.134975,-23.067812
403989919528975,77.58592,-30.984976,-23.067812
403989939382159,76.53593,-30.984976,-23.067812
403989959235343,76.385925,-30.384975,-23.067812
403989979088655,76.53593,-30.534977,-23.067812
403989998941839,75.78593,-29.934975,-22.617811
403990018813995,76.23593,-29.934975,-22.467813
403990038667691,76.385925,-29.634975,-22.017813
403990058521387,76.385925,-29.484976,-21.867811
403990078375083,76.53593,-29.484976,-21.867811
403990098228779,76.53593,-29.334976,-22.317812
403990118089092,76.68593,-29.334976,-22.617811
403990137942916,77.58592,-29.334976,-22.91781
403990157796868,77.28593,-29.334976,-23.367811
403990177650820,77.28593,-29.334976,-23.66781
403990197504644,76.83592,-29.334976,-24.267813
403990217362720,76.83592,-29.334976,-27.867811
403990237216800,76.83592,-29.334976,-27.417814
403990257070880,76.83592,-29.334976,-27.417814
403990276924960,76.83592,-29.334976,-28.617811
403990296778912,76.53593,-29.334976,-28.467813
403990316632953,76.53593,-29.184975,-28.467813
403990336487161,76.53593,-28.584976,-28.467813
403990356341369,76.53593,-28.134975,-28.467813
403990376195449,76.68593,-27.234976,-28.467813
403990396049657,77.28593,-25.584976,-28.167814
403990415910398,77.73593,-22.434975,-28.017813
403990435764862,77.73593,-22.284975,-29.067812
403990455619326,78.03593,-21.234976,-29.517813
403990475473790,79.08592,-20.184975,-29.817812
403990495328254,79.68593,-17.334976,-30.117811
403990515162815,80.73593,-13.884975,-30.717813
403990535016511,81.18593,-11.784975,-31.917814
403990554870335,81.93593,-8.334975,-35.367813
403990574724031,82.23593,-6.234975,-41.367813
403990594577727,82.385925,-3.9849749,-40.46781
403990614433475,82.98593,-3.6849747,-40.767815
403990634287299,82.385925,-4.284975,-40.767815
403990654141123,82.385925,-4.284975,-41.21781
403990673994947,82.68593,-4.4349747,-41.21781
403990693848771,82.68593,-4.4349747,-41.96781
403990713704281,82.385925,-4.4349747,-42.56781
403990733558105,82.08592,-5.034975,-43.16781
403990753411929,81.33592,-6.3849754,-45.71781
403990773265753,78.78593,-11.634975,-47.66781
403990793119577,76.23593,-17.334976,-51.41781
403990812973930,73.385925,-20.484976,-52.16781
403990832827754,67.08592,-24.684975,-53.81781
403990852681706,63.485928,-29.334976,-53.66781
403990872535530,60.335926,-34.584976,-54.117813
403990892389354,54.785927,-35.634975,-55.767815
403990912233033,51.485928,-38.184975,-57.41781
403990932086729,45.18593,-39.984978,-61.46781
403990951940297,36.035927,-39.684975,-67.017815
403990971793993,28.685925,-39.984978,-70.91781
403990991647561,26.435925,-40.284977,-72.71781
403991011498098,24.785925,-40.734978,-78.267815
403991031351794,25.685925,-40.284977,-79.917816
403991051205362,26.585926,-39.834976,-81.71781
403991071058930,27.335926,-38.934975,-81.71781
403991090912498,29.885925,-36.084976,-81.56781
403991110759306,35.435925,-31.734976,-80.96781
403991130613002,41.435925,-27.234976,-79.917816
403991150466570,48.635925,-22.434975,-77.517815
403991170330630,61.085926,-13.884975,-75.417816
403991190184198,64.68593,-10.584975,-72.71781
403991210032449,65.28593,-9.384975,-70.017815
403991229885761,66.78593,-9.084975,-70.31781
403991249739201,66.33592,-9.084975,-70.91781
403991269592513,65.43593,-9.834975,-71.517815
403991289445825,64.98593,-9.984976,-71.66781
403991309289866,64.98593,-10.134975,-72.267815
403991329143050,64.83592,-10.134975,-73.31781
403991348996234,64.83592,-10.134975,-74.36781
403991368849290,64.83592,-10.134975,-75.86781
403991388702474,64.68593,-10.134975,-75.86781
403991408552256,64.83592,-9.984976,-75.417816
403991428405312,64.83592,-9.384975,-74.96781
403991448258240,65.43593,-7.884975,-74.81781
403991468111168,66.93593,-4.4349747,-73.767815
403991487964224,70.23593,2.465025,-71.517815
403991507822136,72.03593,6.215025,-68.36781
403991527675192,72.18593,10.865026,-64.767815
403991547528120,73.23593,16.415026,-65.517815
403991567381176,72.03593,22.715027,-65.96781
403991587234232,71.28593,28.265026,-66.11781
403991607090419,70.98593,30.815025,-66.11781
403991626943603,70.83592,31.865025,-66.41781
403991646796659,70.385925,31.565025,-67.46781
403991666649843,69.18593,31.415028,-70.31781
403991686503027,67.68593,31.115025,-71.66781
403991706357246,65.58592,30.815025,-74.96781
403991726210302,64.53593,30.515026,-76.167816
403991746063486,65.43593,30.515026,-75.56781
403991765916670,65.43593,30.515026,-74.96781
403991785769726,65.58592,31.415028,-74.517815
403991805618439,65.58592,32.315025,-74.21781
403991825471495,64.98593,33.665028,-74.21781
403991845324551,63.935925,36.065025,-73.61781
403991865177607,61.535927,42.665028,-73.61781
403991885030663,58.535927,54.21503,-73.61781
403991904881875,55.685925,59.31503,-74.36781
403991924734803,48.785927,63.665028,-74.36781
403991944587859,34.535927,68.61502,-74.96781
403991964440787,28.535925,72.66502,-75.86781
403991984293715,20.735924,76.71503,-76.017815
403992004151529,12.485924,79.11502,-76.167816
403992024004585,4.3859243,77.46503,-77.81781
403992043857641,-5.964077,77.01503,-81.11781
403992063710697,-14.964077,76.26503,-82.767815
403992083563753,-20.664078,76.41502,-82.017815
403992103417905,-26.364079,76.71503,-81.56781
403992123271089,-33.714077,76.86502,-80.517815
403992143124145,-40.164078,76.86502,-79.017815
403992162977201,-45.714077,77.01503,-77.517815
403992182830385,-48.11408,78.21503,-74.36781
403992202692204,-53.51408,80.61502,-65.96781
403992222545516,-59.214077,83.615036,-49.91781
403992242398828,-63.41408,83.46503,-40.167816
403992262252140,-67.91408,83.91502,-28.617811
403992282105324,-70.614075,84.06503,-11.2178135
403992301962212,-70.31407,84.365036,-4.1678123
403992321815652,-70.764084,84.06503,-1.317812
403992341669092,-71.81407,83.91502,0.6321888
403992361522532,-73.31407,83.76503,-0.1178112
