UPTIMENANO,P
403997306626227,1011.44934
403997405924152,1011.44995
403997505222077,1011.4415
403997605130502,1011.4432400000001
403997704428427,1011.4523
403997803695826,1011.4523
403997901650647,1011.456
403998000338071,1011.4582
403998098842344,1011.4571
403998197743443,1011.4541
403998296797167,1011.4492
403998395972992,1011.44574
403998495118293,1011.4535
403998594294118,1011.45374
403998693561517,1011.4468400000001
403998792706816,1011.4524
403998890997411,1011.4619
403998989440635,1011.47766
403999088555409,1011.4739
403999187548083,1011.4772300000001
403999286666650,1011.4789400000001
403999385964575,1011.4895
403999485415126,1011.49457
403999584682525,1011.5069599999999
403999684010976,1011.50854
403999783278375,1011.5138
403999881630020,1011.5126300000001
403999979920618,1011.5075699999999
404000079126968,1011.51324
404000178119642,1011.5098
404000277387041,1011.4997599999999
404000376623916,1011.49286
404000475830265,1011.4926
404000574975564,1011.49097
404000674059815,1011.4859
404000773205114,1011.4844400000001
404000872136736,1011.4865
404000971098885,1011.487
404001070549434,1011.48895
404001172564086,1011.48553
404001268565307,1011.4839
404001367435881,1011.4788
404001466916955,1011.4788
404001565271106,1011.4785
404001665240581,1011.4764
404001764324830,1011.4725300000001
404001863775379,1011.4747
404001963164879,1011.4747
404002061058652,1011.4764
404002159227150,1011.4747
404002257975623,1011.47296
404002357181974,1011.47296
404002456327273,1011.47516
404002555716772,1011.4734
404002654923121,1011.4700300000001
404002754159996,1011.4649699999999
404002852542168,1011.4669
404002951260117,1011.4582
404003051076967,1011.4599
404003150374891,1011.46326
404003249367565,1011.4582
404003348575768,1011.46014
404003447721067,1011.4551
404003546866366,1011.4567
404003646164291,1011.4567
404003745279066,1011.4567
404003843508613,1011.4622
404003941860261,1011.4571
404004040242435,1011.461
404004139113009,1011.4576
404004237953057,1011.4526
404004337098357,1011.4486699999999
404004435114230,1011.4432400000001
404004534717404,1011.4432400000001
404004634503729,1011.44696
404004733923753,1011.44696
404004832183827,1011.4474
404004931329126,1011.4508699999999
404005030260750,1011.4491
404005128948173,1011.44574
404005228734498,1011.4424
404005325956720,1011.4385
404005425010445,1011.4402
404005523972593,1011.4424
404005622537917,1011.4478
404005721225341,1011.4546
404005819671604,1011.45795
404005918175878,1011.45654
404006017076977,1011.4546
404006115520200,1011.45654
404006214726549,1011.4548300000001
404006314940224,1011.4621
404006413505548,1011.4721699999999
404006512650847,1011.4778
404006610666720,1011.47614
404006708804693,1011.4727
404006807553167,1011.47614
404006906026916,1011.4813
404007005172215,1011.4795
404007103310188,1011.4795
404007201875511,1011.48
404007300898710,1011.48
404007399557662,1011.48175
404007498825061,1011.4858
404007598184036,1011.48065
404007697359861,1011.4789400000001
404007796627260,1011.4823
404007894856807,1011.4862
404007994002106,1011.4862
404008094246307,1011.48785
404008193513706,1011.4828
404008293910531,1011.4815699999999
404008392048505,1011.47473
404008492231655,1011.4764
404008591285379,1011.47656
404008689789652,1011.4685699999999
404008788354976,1011.4724
404008887317125,1011.47266
404008986187699,1011.47675
404009085119323,1011.47516
404009184354438,1011.4734
404009283682887,1011.4809
404009382950286,1011.4775
404009482309261,1011.4780000000001
404009581576660,1011.48694
404009680783009,1011.48175
404009780019884,1011.48456
404009878371532,1011.48456
404009976356880,1011.4795
404010075654804,1011.48114
404010175715854,1011.4881
404010274708528,1011.4863
404010374006453,1011.48645
404010473212804,1011.4763
404010572419153,1011.4814
404010671594978,1011.4881
404010770862377,1011.4898
404010869183498,1011.48474
404010967351996,1011.4710699999999
404011067565671,1011.4779699999999
404011166802545,1011.4830000000001
404011265978369,1011.48285
404011364146868,1011.4795
404011463627943,1011.488
404011563902667,1011.4757
404011662040641,1011.4717
404011761735390,1011.4717
404011858409180,1011.4767
404011956852403,1011.47504
404012056913453,1011.47504
404012164849961,1011.4717
404012255173527,1011.47504
404012354288301,1011.4615
404012452823099,1011.4580000000001
404012551357898,1011.4577
404012650106372,1011.4661
404012748702220,1011.46454
404012847114919,1011.4678
404012945924442,1011.4764
404013044733966,1011.4775
404013143207715,1011.4705
404013242017239,1011.4683
404013341681464,1011.4649699999999
404013441162538,1011.46326
404013539941536,1011.45776
404013638048985,1011.4595300000001
404013737620748,1011.4557
404013837956523,1011.4591
404013937162873,1011.4591
404014035636621,1011.4544
404014134537720,1011.45776
404014234262995,1011.46094
404014333621969,1011.4591
404014432339918,1011.45215
404014531607317,1011.447
404014630752616,1011.45746
404014729989491,1011.46094
404014828951640,1011.45746
404014927211713,1011.46594
404015026143337,1011.46234
404015124372885,1011.4588
404015222694008,1011.45746
404015321015132,1011.4504
404015424098160,1011.4487
404015520374106,1011.4454
404015619244680,1011.4487
404015723640284,1011.45215
404015818145779,1011.4524
404015916590328,1011.4472699999999
404016015003026,1011.4403
404016113904125,1011.4403
404016212530499,1011.4415
404016311401073,1011.4381
404016409996921,1011.436
404016508470670,1011.43756
404016608928545,1011.4342
404016708623295,1011.4342
404016808104370,1011.4342
404016906333918,1011.436
404017005601317,1011.436
404017104105591,1011.436
404017202701439,1011.4381
404017301541488,1011.4363
404017401175188,1011.424
404017499862611,1011.4263300000001
404017599618411,1011.4263300000001
404017698611085,1011.4228
404017797054309,1011.4245599999999
404017893789343,1011.4228
404017992415717,1011.4177
404018090858940,1011.4212
404018189973714,1011.40594
404018288508513,1011.4097
404018386890686,1011.41516
404018485669685,1011.4064300000001
404018584845510,1011.403
404018683014007,1011.3946
404018781579331,1011.39624
404018880053080,1011.3894
404018979808879,1011.3894
404019079839404,1011.3861699999999
404019178709978,1011.3861699999999
404019281976156,1011.3810000000001
404019375565900,1011.3826
404019474985924,1011.3793
404019573978598,1011.3810000000001
404019673337573,1011.3861699999999
404019772574448,1011.3826
404019871536596,1011.3812
404019969859378,1011.3867
404020069279403,1011.3851
404020168363652,1011.3867
404020267356326,1011.3778699999999
404020366654251,1011.37317
404020466013226,1011.36975
404020565250101,1011.363
404020664578550,1011.363
404020764395401,1011.3681
404020863723847,1011.3541
404020960854494,1011.3525
404021059114568,1011.3508
404021157740941,1011.3575
404021256886240,1011.3525
404021356123115,1011.34546
404021455482090,1011.3508
404021554718965,1011.3559
404021653955840,1011.36255
404021753223241,1011.36475
404021852795890,1011.3684
404021950381917,1011.3638300000001
404022048764090,1011.36725
404022147329414,1011.3706699999999
404022246077888,1011.3818
404022344887411,1011.3786
404022444093761,1011.3836699999999
404022543422210,1011.4010599999999
404022642689609,1011.4096
404022742048584,1011.4185
404022841132833,1011.41974
404022940522332,1011.4269400000001
404023039423431,1011.43207
404023143055910,1011.4407
404023236950903,1011.4407
404023333379475,1011.44745
404023432127949,1011.4439
404023530693272,1011.439
404023631181673,1011.43225
404023730296447,1011.4339
404023828800720,1011.4356
404023927365642,1011.4326
404024026510941,1011.43933
404024125412040,1011.4326
404024224343664,1011.436
404024323031088,1011.4415
404024422176387,1011.4398
404024521321686,1011.4484
404024621046961,1011.4502
404024720772236,1011.4540400000001
404024819642811,1011.4556
404024917750257,1011.4524
404025016956606,1011.4524
404025116803981,1011.4574
404025215766130,1011.4574
404025314026204,1011.4556
404025414545129,1011.4608
404025513934628,1011.47144
404025612835727,1011.47644
404025712133652,1011.48535
404025811065277,1011.4887
404025909691301,1011.4989
404026008042950,1011.4985
404026106791423,1011.4985
404026206119873,1011.5006
404026304440996,1011.50085
404026403464195,1011.5059
404026507798750,1011.5197
404026601998995,1011.51605
404026701266396,1011.5227699999999
404026800686421,1011.5333
404026900564317,1011.5384
404026999251741,1011.55084
404027098091790,1011.5542
404027195955037,1011.56287
404027294093011,1011.57465
404027392597284,1011.573
404027492658334,1011.57465
404027592108884,1011.5869
404027691376283,1011.59546
404027789788981,1011.59766
404027888415355,1011.5943
404027987897415,1011.59094
404028086554314,1011.5924699999999
404028185730139,1011.5960699999999
404028285028064,1011.5977
404028384356513,1011.5960699999999
404028483654438,1011.5960699999999
404028583043939,1011.5995
404028682341864,1011.6089
404028781761889,1011.6038
404028879777762,1011.605
404028977579955,1011.6083
404029076389479,1011.6206699999999
404029175229528,1011.6206699999999
404029273886426,1011.6242699999999
404029372787525,1011.6277
404029471535999,1011.62946
404029570406573,1011.6361699999999
404029668514021,1011.6415400000001
404029767811946,1011.6365400000001
404029867506695,1011.6387
404029966773443,1011.6419999999999
404030065552442,1011.6438
404030164178816,1011.65265
404030262927289,1011.66
404030365521917,1011.65485
404030460057937,1011.65485
404030558684310,1011.6637599999999
404030657676984,1011.6654699999999
404030756394933,1011.6669999999999
404030854655006,1011.6637599999999
404030954380281,1011.6669999999999
404031054105556,1011.6759599999999
404031152548779,1011.67786
404031250747802,1011.6728
404031349374176,1011.6834
404031447176374,1011.68286
404031545619597,1011.6867699999999
404031645161722,1011.6851
404031743513370,1011.6851
404031843238645,1011.68005
404031943299695,1011.6817599999999
404032042870887,1011.68555
404032141161486,1011.69293
404032240337310,1011.6945
404032340673085,1011.70514
404032440306785,1011.7069
404032538902633,1011.70355
404032637406907,1011.7085599999999
404032737834257,1011.71063
404032836949031,1011.7207599999999
404032934995429,1011.7136
404033033896528,1011.71735
404033133713378,1011.72833
404033231881876,1011.7266
