UPTIMENANO,Gx,Gy,Gz
403989363632210,-0.03282609,0.026312733,-0.030157672
403989373558994,-0.052000847,0.040693805,-0.0067218537
403989383485650,-0.055729274,0.051346447,0.009789744
403989393412306,-0.048272423,0.048683286,0.016713964
403989403339090,-0.026434503,0.03483485,0.019377125
403989413272357,-0.004063949,0.009801134,0.015648698
403989423199141,0.00286027,-0.028548388,0.011920273
403989433125925,-0.009922903,-0.0700937,0.0033981586
403989443052709,-0.01631449,-0.111639015,-0.009917648
403989452979493,-0.009390271,-0.13507484,-0.013113441
403989462906277,1.971089E-4,-0.14412959,-0.007254486
403989472832933,-0.004063949,-0.13507484,-0.0019281638
403989482759717,-0.0109881675,-0.13134642,0.006593952
403989492686501,-0.025369238,-0.15211907,-0.0061892215
403989502613285,-0.031228194,-0.16543488,-0.028559776
403989512557798,-0.021640813,-0.17608751,-0.03761452
403989522484710,-0.008857639,-0.21177387,-0.03708189
403989532411750,0.02203503,-0.26823288,-0.032820832
403989542338790,0.06730877,-0.33800772,-0.032288197
403989552265702,0.11684357,-0.3790204,-0.0472019
403989562192742,0.16744362,-0.38328147,-0.0669093
403989572119782,0.19780366,-0.36783513,-0.075431414
403989582046694,0.20472787,-0.33907297,-0.075431414
403989591973734,0.20153208,-0.31190875,-0.08288827
403989601900774,0.19247733,-0.30019084,-0.099399865
403989611794599,0.18235733,-0.31084347,-0.12443358
403989621721127,0.16850889,-0.33587718,-0.17663154
403989631647527,0.14347517,-0.38487935,-0.24480847
403989641574055,0.09340775,-0.4818184,-0.2666464
403989651500583,0.031089777,-0.5952691,-0.25759163
403989661426983,0.013512915,-0.6783597,-0.32949698
403989671353511,0.042275056,-0.79074514,-0.45679608
403989681280039,0.115778305,-0.90099996,-0.6229773
403989691206439,0.2904817,-0.97130746,-0.7710491
403989701132967,0.5498736,-1.1231077,-0.8370955
403989711066107,0.8561371,-1.5641271,-0.76838595
403989720992635,1.2396322,-1.6461525,-0.7859628
403989730919291,1.5751905,-1.8671949,-0.8370955
403989740845819,1.6881086,-2.204351,-0.8402913
403989750772475,1.5405694,-2.456286,-0.78489757
403989760699003,1.2497523,-2.501027,-0.6410868
403989770625531,0.9530762,-2.1425655,-0.49088454
403989780552187,0.62976843,-1.6392282,-0.36518335
403989790478715,0.33096173,-1.0842254,-0.24534109
403989800405243,0.09500565,-0.5052542,-0.15585887
403989810333707,-0.087154575,-0.101519,-0.12283568
403989820260363,-0.1750389,-0.06636527,-0.27197272
403989830187019,-0.055729274,0.07584753,-0.5196467
403989840113675,0.14507307,0.30860782,-0.5638552
403989850040203,0.23029423,0.20634241,-0.5260383
403989859966859,0.29953644,-0.09246425,-0.55426776
403989869893515,0.40553024,-0.32202876,-0.5377562
403989879820043,0.49447984,-0.4003257,-0.4354908
403989889746699,0.53602517,-0.40778252,-0.3049959
403989899673355,0.5338946,-0.38807514,-0.22030738
403989909602319,0.5141872,-0.32895297,-0.20166525
403989919528975,0.46198925,-0.24746025,-0.24587372
403989929455503,0.38955128,-0.21177387,-0.29753906
403989939382159,0.28195956,-0.07701792,-0.35506332
403989949308815,0.14933413,0.12378443,-0.41312024
403989959235343,0.023100294,0.30914044,-0.4301645
403989969161999,-0.05732717,0.3762521,-0.42164236
403989979088655,-0.07650193,0.3149994,-0.37690127
403989989015183,-0.012053432,0.2276477,-0.24108003
403989998941839,0.11045198,0.2111361,-0.13242306
403990008887083,0.22709844,0.1679929,-0.17396837
403990018813995,0.2824922,0.048683286,-0.24001478
403990028740779,0.27130693,-0.11217164,-0.23522109
403990038667691,0.22443527,-0.24639498,-0.1659789
403990048594475,0.1786289,-0.54520166,-0.12390095
403990058521387,0.18075943,-1.0458759,-0.1627831
403990068448171,0.2217721,-1.3931521,-0.15958731
403990078375083,0.28462273,-1.4235122,-0.106324084
403990088301867,0.35066912,-1.2365583,-0.08768196
403990098228779,0.3538649,-0.8812926,-0.048799798
403990108162052,0.2611869,-0.51324373,0.018844493
403990118089092,0.11045198,-0.22828548,0.1493394
403990128016004,-0.036554515,-0.049853675,0.268649
403990137942916,-0.13136306,0.058270667,0.28409535
403990147869956,-0.15320098,0.12591495,0.21218999
403990157796868,-0.1255041,0.14029603,0.08808668
403990167723780,-0.09940512,0.11366442,0.015116068
403990177650820,-0.063186124,-0.009906258,-0.010450279
403990187577732,-0.01844502,-0.19206649,-0.040277682
403990197504644,-0.0109881675,-0.42376152,-0.09354091
403990207435680,-0.015781859,-0.6085849,-0.14999993
403990217362720,-0.025369238,-0.6783597,-0.20219788
403990227289760,-0.07064298,-0.6048565,-0.2533306
403990237216800,-0.13136306,-0.46104577,-0.28635377
403990247143840,-0.16385363,-0.31084347,-0.29008222
403990257070880,-0.15266834,-0.06796317,-0.257059
403990266997920,-0.11857988,0.18503714,-0.21711159
403990276924960,0.052927703,0.2010161,-0.22030738
403990286851872,0.17010678,0.19728768,-0.24800426
403990296778912,0.15039939,0.27345407,-0.3215075
403990306705913,0.13761622,0.4407006,-0.39714128
403990316632953,0.2792964,0.37998053,-0.4370887
403990326560121,0.48649034,0.036432747,-0.43176237
403990336487161,0.6287031,-0.28634238,-0.41152236
403990346414201,0.7235117,-0.46051311,-0.46105716
403990356341369,0.7634591,-0.51750475,-0.52284247
403990366268409,0.74481696,-0.5361469,-0.5867584
403990376195449,0.7165875,-0.5952691,-0.67570794
403990386122617,0.702739,-0.72310084,-0.77051646
403990396049657,0.67717266,-0.8440083,-0.8594661
403990405983230,0.64628,-1.0075264,-0.93882823
403990415910398,0.642019,-1.3201815,-1.0011462
403990425837694,0.66811794,-1.7345694,-1.1108685
403990435764862,0.69474953,-2.0807803,-1.3260518
