UPTIMENANO,Ax,Ay,Az
403989370933429,-0.23802832,-0.35860986,0.27789116
403989390933429,-0.17214355,-0.36040115,0.35817623
403989410933429,-0.10919745,-0.37092188,0.16626893
403989430933429,-0.110777736,-0.28124753,0.0075759804
403989450933429,-0.10045503,-0.31025043,0.18616626
403989470933429,-0.09817673,-0.37531558,0.15494885
403989490933429,0.12618111,-0.2804371,0.23500627
403989510933429,-0.0698821,-0.3779908,0.52518857
403989530933429,-0.11356334,-0.40740606,0.7739883
403989550933429,0.03962805,-0.43045324,0.83104146
403989570933429,-0.10287278,-0.35530356,0.5972556
403989590933429,0.024533993,-0.2657865,0.37027737
403989610933429,0.26312643,-0.3196605,0.14787892
403989630933429,0.08470982,-0.49358413,-0.06123999
403989650933429,0.3968977,-0.17405467,0.0025907897
403989670933429,1.015867,-0.28877974,0.63096446
403989690933429,0.79965216,-0.60390675,1.7818298
403989710933429,-0.53259337,-0.6153026,2.3196778
403989730933429,-0.32305118,-0.9012232,0.9201132
403989750933429,-0.5382407,-0.46452338,-1.2385272
403989770933429,-0.4548285,-0.59045655,-1.3031485
403989790933429,-0.18406697,-0.7495901,-0.5071296
403989810933429,1.3490851,-1.6216338,0.8469156
403989830933429,0.6698703,-1.0212128,1.9549519
403989850933429,-0.54750454,-0.39224872,1.5787401
403989870933429,-1.0725389,-0.15074156,0.9954798
403989890933429,-0.45925215,0.21820432,0.4213245
403989910933429,0.5665474,-0.30070087,0.05732709
403989930933429,0.95727456,-0.7440498,-0.327171
403989950933429,0.47798598,-0.44249675,-0.9163529
403989970933429,-0.5304449,0.18620826,-0.112683676
403989990933429,-1.2951254,0.28966847,0.93200606
403990010933429,0.16929667,-0.7353814,1.037465
403990030933429,-0.20572673,-0.3251136,0.041027278
403990050933429,0.27821773,-0.122728944,0.3371237
403990070933429,-0.75144386,-0.017442638,0.17257234
403990090933429,-0.5108332,-0.29620475,0.45773873
403990110933429,-0.8673783,-0.38516507,-0.38940606
403990130933429,-0.74426395,-0.49914184,-0.09616699
403990150933429,-0.18825176,-0.3891848,0.44967198
403990170933429,-0.68495107,-0.45271525,0.56916976
403990190933429,-0.35338187,-0.34361598,-0.09787648
403990210933429,5.004466E-4,-0.14101432,-0.24392122
403990230933429,0.023376008,-3.367741E-4,-0.31971303
403990250933429,-0.806361,-0.25101554,0.47190696
403990270933429,0.053813502,-0.41436836,1.9754286
403990290933429,0.5258827,-0.320686,0.41286048
403990310933429,-0.021395076,-0.4913426,1.3773723
403990330933429,-0.03226922,-0.24474594,1.227723
403990350933429,0.2674569,-0.19619296,0.20097096
403990370933429,0.47375837,-0.060087983,-0.3429894
403990390933429,0.30497828,0.091835454,-0.581856
403990410933429,-0.0025208592,-0.09794386,-0.7780001
403990430933429,1.1653966,-0.2264047,-0.30824253
403990450933429,0.85127735,-2.2982578,-2.5147328
403990470933429,-0.049399603,-0.894357,-2.1257586
403990490933429,-0.2397469,-0.571872,-1.8526946
403990510933429,1.2998495,-0.84391326,-1.1992464
403990530933429,-0.9916734,-0.08640529,0.7373526
403990550933429,-3.209151,0.16650115,2.069959
403990570933429,-2.8492684,-0.40223283,2.47987
403990590933429,-1.2121112,-1.1455227,1.3913021
403990610933429,-0.13396695,-0.0033034135,1.0294445
403990630933429,3.3299382,1.3178829,1.01919
403990650933429,5.401715,1.5752904,0.15584455
403990670933429,2.9862561,0.8146968,-0.9807219
403990690933429,0.19012995,-0.45697606,-1.9003981
403990710933429,-0.55987847,-1.1029804,-1.9833453
403990730933429,-0.57431823,-2.576928,-3.1943054
403990750933429,-3.1595078,-2.980485,-2.3847861
403990770933429,-0.7164335,-3.565494,-0.62136465
403990790933429,-1.2602683,-6.855269,-0.9599765
403990810933429,1.1545675,-3.712827,-1.557453
403990830933429,-0.78139037,-3.7095268,-2.7581577
403990850933429,-2.1372342,-5.0971537,-6.4652166
403990870933429,-2.0030072,-5.869266,-8.287228
403990890933429,-2.4392729,-6.256528,-7.4665294
403990910933429,-3.023477,-6.223139,-5.344254
403990930933429,-0.8996543,-5.423853,-0.81950873
403990950933429,3.64206,-4.00664,5.1526127
403990970933429,8.014314,-4.3537626,6.161261
403990990933429,9.161855,-0.08326129,5.694758
403991010933429,8.505052,2.2589061,4.166885
403991030933429,7.791182,3.292959,6.9906163
403991050933429,7.985982,4.0918517,10.616568
403991070933429,6.7364845,3.794368,9.516172
403991090933429,1.9589934,3.714995,5.370477
403991110933429,-1.9487371,3.8713796,3.4556928
403991130933429,-0.97261983,2.8973072,4.0871453
403991150943921,-0.71003073,-0.39751044,4.1227045
403991170943921,-0.93728113,-1.1835093,2.2238176
